iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,9.4,-6.5854,0.7799,36.5,0.302209,0.257706,52.545592,3.776046,0.0,1e-05,13029.0,100
20,245760,17.5,-6.6126,0.7062,36.6,0.290644,0.182213,52.551392,3.653746,0.0,1e-05,15165.0,100
30,368640,25.6,-6.6069,0.6878,36.4,0.253768,0.128798,52.55668,3.832092,0.0,1e-05,15153.0,100
40,491520,33.9,-6.5822,0.6669,36.4,0.259247,0.111156,52.5621,3.544002,0.0,1e-05,14962.0,100
50,614400,42.0,-6.6095,0.6758,36.7,0.279086,0.088186,52.567072,3.535304,0.0,1e-05,15043.0,100
60,737280,51.2,-6.521,0.7975,35.4,0.254277,0.080913,52.572555,3.26977,0.0,1e-05,13445.0,100
70,860160,59.3,-6.5413,0.6721,36.5,0.258575,0.070133,52.577804,3.198791,0.0,1e-05,15114.0,100
80,983040,67.4,-6.5848,0.6847,37.1,0.228481,0.062502,52.583661,3.147595,0.0,1e-05,15075.0,100
90,1105920,75.6,-6.5705,0.6501,36.9,0.251179,0.062479,52.589539,3.130817,0.0,1e-05,15100.0,100
100,1228800,83.8,-6.5704,0.6751,37.0,0.24979,0.061333,52.594263,2.936418,0.0,1e-05,15024.0,100
110,1351680,92.9,-6.5317,0.756,35.8,0.226005,0.056114,52.599223,2.884433,0.0,1e-05,13517.0,100
120,1474560,101.1,-6.4953,0.6541,35.6,0.200898,0.047425,52.604973,2.809463,0.0,1e-05,14959.0,100
130,1597440,109.3,-6.4282,0.6215,34.5,0.199131,0.050126,52.611977,2.852576,0.0,1e-05,14906.0,100
140,1720320,117.5,-6.3988,0.6376,33.9,0.20038,0.048842,52.618372,2.812398,0.0,1e-05,14930.0,100
150,1843200,125.7,-6.3471,0.6064,33.0,0.189393,0.045425,52.625012,2.640229,0.0,1e-05,15000.0,100
160,1966080,134.9,-6.3041,0.7083,32.2,0.180037,0.041149,52.63123,2.631346,0.0,1e-05,13342.0,100
10,2113536,9.5,-6.2031,0.5745,31.0,0.172366,0.03579,52.666661,2.35191,0.0,1e-05,12876.0,102
20,2236416,17.7,-6.1279,0.5445,30.0,0.159821,0.033663,52.673128,2.297075,0.0,1e-05,15011.0,102
30,2359296,26.7,-6.0653,0.4977,29.0,0.211482,0.032511,52.680413,2.569624,0.0,1e-05,13650.0,102
40,2482176,35.7,-6.026,0.4581,28.4,0.15477,0.030599,52.687119,2.174437,0.0,1e-05,13693.0,102
50,2605056,44.0,-5.9908,0.4142,27.8,0.141606,0.028667,52.694555,2.10011,0.0,1e-05,14848.0,102
60,2727936,52.8,-5.9078,0.4963,26.6,0.146333,0.0279,52.701649,2.037294,0.0,1e-05,13951.0,102
70,2850816,61.0,-5.9319,0.4038,27.1,0.145345,0.025175,52.708898,2.006196,0.0,1e-05,15055.0,102
80,2973696,69.1,-5.8737,0.3935,26.7,0.14548,0.025784,52.715819,1.927965,0.0,1e-05,15033.0,102
90,3096576,77.2,-5.8001,0.3642,26.0,0.140609,0.024303,52.722536,1.971369,0.0,1e-05,15155.0,102
100,3219456,85.4,-5.7646,0.3591,25.7,0.140253,0.021098,52.729677,1.811702,0.0,1e-05,15136.0,102
110,3342336,94.1,-5.6897,0.4256,24.8,0.129956,0.020146,52.737157,1.811761,0.0,1e-05,13989.0,102
120,3465216,102.3,-5.7017,0.3175,25.0,0.142074,0.019808,52.743719,1.599105,0.0,1e-05,15058.0,102
130,3588096,110.4,-5.6918,0.3071,24.7,0.139926,0.018866,52.750207,1.527952,0.0,1e-05,15139.0,102
140,3710976,118.5,-5.6923,0.2925,24.6,0.128636,0.018793,52.756858,1.449763,0.0,1e-05,15181.0,102
150,3833856,126.6,-5.6922,0.2987,24.5,0.121467,0.01798,52.762596,1.320837,0.0,1e-05,15190.0,102
160,3956736,135.3,-5.6579,0.4032,24.1,0.123648,0.018944,52.768481,1.293958,0.0,1e-05,14113.0,102
170,4079616,143.4,-5.7211,0.2808,24.5,0.115583,0.017608,52.774467,1.016537,0.0,1e-05,15149.0,102
180,4202496,151.7,-5.7308,0.2633,24.5,0.107112,0.016938,52.779821,0.88347,0.0,1e-05,14800.0,102
190,4325376,160.1,-5.7481,0.2661,24.5,0.095949,0.016993,52.784919,0.760375,0.0,1e-05,14717.0,102
200,4448256,168.2,-5.7709,0.2538,24.6,0.104875,0.018523,52.78964,0.729584,0.0,1e-05,15167.0,102
210,4571136,176.8,-5.7161,0.3973,23.8,0.091196,0.019443,52.794163,0.626262,0.0,1e-05,14157.0,102
