iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,8.9,-6.0134,0.4195,37.6,0.296619,2.779023,52.543724,0.746939,0.0,1e-05,13736.0,98
20,245760,16.5,-6.0423,0.4322,37.9,0.288532,3.018977,52.547338,0.74673,0.0,1e-05,16347.0,98
30,368640,24.0,-6.0433,0.445,37.7,0.28027,2.961087,52.551552,0.783339,0.0,1e-05,16292.0,98
40,491520,31.5,-6.0375,0.4349,37.4,0.285321,2.97191,52.556129,0.860044,0.0,1e-05,16385.0,98
50,614400,39.1,-6.0495,0.4578,37.3,0.281746,2.992598,52.560131,0.913614,0.0,1e-05,16279.0,98
60,737280,48.8,-5.9341,0.6045,35.5,0.271102,3.051597,52.564176,0.983594,0.0,1e-05,12556.0,98
70,860160,56.4,-6.0574,0.4593,36.9,0.273912,3.160288,52.567791,1.067467,0.0,1e-05,16336.0,98
80,983040,63.9,-6.0552,0.4621,36.8,0.256267,3.26139,52.570999,1.141711,0.0,1e-05,16265.0,98
90,1105920,71.5,-6.0388,0.4501,36.1,0.266877,3.465186,52.574289,1.266255,0.0,1e-05,16213.0,98
100,1228800,79.2,-6.0515,0.4676,35.8,0.27986,3.57448,52.577563,1.523421,0.0,1e-05,16047.0,98
110,1351680,88.5,-5.928,0.639,33.7,0.289782,3.901549,52.580747,1.616113,0.0,1e-05,13109.0,98
120,1474560,96.1,-6.055,0.4942,35.1,0.343094,4.253541,52.584176,1.817351,0.0,1e-05,16136.0,98
130,1597440,103.7,-6.0483,0.4834,34.4,0.354936,4.918541,52.586754,2.017537,0.0,1e-05,16278.0,98
140,1720320,111.3,-6.064,0.5241,34.2,0.350187,5.418892,52.589502,2.290115,0.0,1e-05,16220.0,98
150,1843200,118.9,-6.0467,0.504,33.2,0.363032,6.533715,52.591893,2.455943,0.0,1e-05,16192.0,98
160,1966080,128.1,-5.9305,0.6066,31.2,0.408041,7.267114,52.594364,2.803666,0.0,1e-05,13277.0,98
10,2113536,8.0,-5.9298,0.3976,29.4,0.457762,18.364483,52.61284,5.072341,0.0,1e-05,15286.0,99
20,2236416,14.7,-5.9591,0.3973,28.8,0.489145,19.04126,52.61762,5.546561,0.0,1e-05,18473.0,99
30,2359296,21.5,-5.9782,0.4063,28.9,0.490844,19.397328,52.622584,4.527886,0.0,1e-05,17936.0,99
40,2482176,28.2,-6.003,0.4587,29.3,0.460557,19.602593,52.627049,4.658399,0.0,1e-05,18349.0,99
50,2605056,35.0,-6.006,0.4503,29.3,0.694064,19.536556,52.631878,5.019495,0.0,1e-05,18244.0,99
60,2727936,42.6,-5.9521,0.5524,28.5,0.425029,18.850311,52.635525,4.472711,0.0,1e-05,16205.0,99
70,2850816,49.2,-6.0092,0.4482,29.2,0.459542,18.547247,52.638734,4.584764,0.0,1e-05,18446.0,99
80,2973696,55.9,-6.0136,0.4476,29.3,0.443437,18.155558,52.641786,4.562531,0.0,1e-05,18407.0,99
90,3096576,62.5,-6.0219,0.4657,29.4,0.439435,17.757526,52.644273,4.633575,0.0,1e-05,18529.0,99
100,3219456,69.2,-6.0351,0.4789,29.4,0.551357,17.344795,52.647004,4.879469,0.0,1e-05,18326.0,99
110,3342336,76.8,-5.9427,0.5994,28.3,0.377424,17.496842,52.649692,4.594514,0.0,1e-05,16301.0,99
120,3465216,83.5,-6.0378,0.4446,29.4,0.426811,16.216524,52.652613,4.643253,0.0,1e-05,18387.0,99
130,3588096,90.1,-6.0584,0.4941,29.8,0.442805,15.796788,52.656154,4.543452,0.0,1e-05,18434.0,99
140,3710976,96.9,-6.0482,0.4572,29.6,0.563399,15.183503,52.659184,4.903056,0.0,1e-05,18116.0,99
150,3833856,103.8,-6.0527,0.4589,29.6,0.389011,14.150728,52.662747,4.564048,0.0,1e-05,17837.0,99
160,3956736,111.2,-5.9773,0.6081,28.7,0.642952,14.338902,52.66551,6.426103,0.0,1e-05,16482.0,99
170,4079616,117.8,-6.0509,0.4732,29.6,0.464986,13.770906,52.668362,4.347334,0.0,1e-05,18664.0,99
180,4202496,124.3,-6.0624,0.4811,29.8,0.575359,13.105095,52.672315,4.51397,0.0,1e-05,18889.0,99
190,4325376,130.8,-6.0729,0.4764,29.9,0.541754,13.188092,52.675888,4.478025,0.0,1e-05,18910.0,99
200,4448256,137.5,-6.0802,0.5025,30.0,0.393281,12.657021,52.678777,4.375001,0.0,1e-05,18560.0,99
210,4571136,144.6,-5.9918,0.62,28.8,0.390508,12.603467,52.681291,4.341116,0.0,1e-05,17115.0,99
220,4694016,151.1,-6.0995,0.4915,30.1,0.513933,11.686986,52.684966,4.584943,0.0,1e-05,18981.0,99
230,4816896,157.6,-6.1061,0.5078,30.3,0.447827,11.453326,52.688177,4.634568,0.0,1e-05,18953.0,99
240,4939776,164.1,-6.0877,0.4845,30.1,0.411877,11.100874,52.691223,4.405339,0.0,1e-05,18928.0,99
250,5062656,170.6,-6.1156,0.5107,30.5,0.48586,10.752176,52.694853,4.598893,0.0,1e-05,18761.0,99
260,5185536,177.8,-6.1057,0.6584,30.6,0.454607,11.583855,52.697451,4.610907,0.0,1e-05,17197.0,99
270,5308416,184.4,-6.1153,0.5022,30.5,0.428083,11.080357,52.700451,4.367374,0.0,1e-05,18594.0,99
280,5431296,190.9,-6.114,0.4903,30.6,0.446677,10.658774,52.704063,4.385858,0.0,1e-05,18899.0,99
290,5554176,197.4,-6.1173,0.4864,30.6,0.557661,10.62957,52.707758,4.719733,0.0,1e-05,19004.0,99
300,5677056,203.8,-6.1223,0.5238,30.8,0.514614,10.667027,52.711022,4.42291,0.0,1e-05,19029.0,99
310,5799936,211.0,-6.1594,0.6259,31.5,0.526581,10.772368,52.713604,4.429951,0.0,1e-05,17174.0,99
320,5922816,217.4,-6.0987,0.4584,30.5,0.439439,10.283798,52.716316,4.575004,0.0,1e-05,18973.0,99
330,6045696,223.9,-6.1281,0.5089,30.9,0.428458,10.031733,52.719546,4.367077,0.0,1e-05,19064.0,99
340,6168576,230.4,-6.1042,0.5007,30.7,0.571153,9.890586,52.722409,4.451822,0.0,1e-05,18979.0,99
350,6291456,236.9,-6.1245,0.5147,31.0,0.815255,9.832084,52.725181,4.484218,0.0,1e-05,18695.0,99
360,6414336,244.2,-6.0088,0.6378,29.6,0.473814,9.820631,52.727779,4.335353,0.0,1e-05,16977.0,99
370,6537216,250.6,-6.1132,0.4975,30.9,0.416756,9.988089,52.730453,21.603498,0.0,1e-05,19005.0,99
380,6660096,257.1,-6.1176,0.5065,31.0,0.401674,10.051221,52.732887,4.486353,0.0,1e-05,18993.0,99
390,6782976,263.6,-6.1134,0.5049,30.9,0.432439,9.944474,52.735888,4.2971,0.0,1e-05,18988.0,99
400,6905856,270.0,-6.1148,0.5004,31.0,0.406895,9.666105,52.739509,4.13719,0.0,1e-05,19041.0,99
410,7028736,277.2,-6.0753,0.6401,30.6,0.470203,10.323937,52.741897,4.398502,0.0,1e-05,17230.0,99
420,7151616,283.6,-6.1278,0.516,31.1,0.372829,9.805612,52.745315,4.192967,0.0,1e-05,18990.0,99
430,7274496,290.1,-6.1172,0.5022,31.1,0.432156,9.408557,52.748691,4.262939,0.0,1e-05,19075.0,99
440,7397376,296.5,-6.129,0.5376,31.2,0.423435,9.411438,52.751896,4.29554,0.0,1e-05,18993.0,99
