iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,8.7,-11.9511,2.4034,21.8,-0.025769,13.229208,52.559541,0.020561,0.0,2.6337448559670777e-05,14103.0,36
20,245760,16.2,-11.8428,2.4891,21.7,-0.030223,7.234983,52.61269,0.016755,0.0,2.6337448559670777e-05,16437.0,36
30,368640,23.6,-11.6563,2.3299,21.3,-0.030669,5.067858,52.668311,0.016263,0.0,2.6337448559670777e-05,16585.0,36
40,491520,31.0,-11.5018,2.1766,21.0,-0.030324,3.697628,52.721365,0.017332,0.0,2.6337448559670777e-05,16523.0,36
50,614400,38.5,-11.4858,2.2063,21.2,-0.030025,2.487006,52.767215,0.017323,0.0,2.6337448559670777e-05,16370.0,36
60,737280,46.6,-11.1907,2.3174,20.5,-0.035637,1.971344,52.821681,0.016991,0.0,2.6337448559670777e-05,15221.0,36
70,860160,54.1,-11.2308,2.1349,20.8,-0.035293,1.54604,52.868235,0.015906,0.0,2.6337448559670777e-05,16394.0,36
80,983040,61.6,-11.0988,2.1109,20.7,-0.036427,1.331142,52.917933,0.015589,0.0,2.6337448559670777e-05,16295.0,36
90,1105920,69.2,-10.881,1.9028,20.3,-0.036389,1.117589,52.972515,0.016586,0.0,2.6337448559670777e-05,16379.0,36
100,1228800,76.7,-10.7572,1.8836,20.2,-0.035924,0.992294,53.022723,0.017384,0.0,2.6337448559670777e-05,16370.0,36
110,1351680,84.7,-10.4803,1.9937,19.7,-0.035975,0.878165,53.079954,0.016692,0.0,2.6337448559670777e-05,15197.0,36
120,1474560,92.4,-10.4243,1.7313,19.8,-0.036408,0.740055,53.142197,0.015121,0.0,2.6337448559670777e-05,16154.0,36
130,1597440,100.3,-10.2418,1.6324,19.6,-0.034889,0.680706,53.197583,0.016523,0.0,2.6337448559670777e-05,15441.0,36
140,1720320,107.8,-10.0929,1.5091,19.4,-0.036939,0.549278,53.256974,0.015692,0.0,2.6337448559670777e-05,16295.0,36
150,1843200,115.5,-9.9132,1.3978,19.1,-0.032926,0.475403,53.310428,0.016057,0.0,2.6337448559670777e-05,16148.0,36
160,1966080,123.3,-9.7522,1.5942,18.9,-0.033878,0.470592,53.369892,0.015934,0.0,2.6337448559670777e-05,15770.0,36
10,2113536,8.7,-9.5153,1.097,18.6,-0.025307,0.348607,53.453242,0.016896,0.0,3.9506172839506166e-05,14065.0,37
20,2236416,15.6,-9.3521,1.0746,18.5,-0.022786,0.348723,53.506067,0.017852,0.0,3.9506172839506166e-05,17929.0,37
30,2359296,22.8,-9.2122,1.1518,18.4,-0.026168,0.295317,53.562447,0.017973,0.0,3.9506172839506166e-05,16990.0,37
40,2482176,30.2,-9.0085,0.882,18.1,-0.022192,0.244676,53.615437,0.017809,0.0,3.9506172839506166e-05,16665.0,37
50,2605056,37.8,-8.8585,0.8782,17.9,-0.024971,0.21432,53.664585,0.016985,0.0,3.9506172839506166e-05,16252.0,37
60,2727936,45.6,-8.6492,1.0822,17.5,-0.022237,0.198409,53.721014,0.018623,0.0,3.9506172839506166e-05,15648.0,37
70,2850816,53.1,-8.6073,0.7731,17.7,-0.026628,0.155193,53.773705,0.016384,0.0,3.9506172839506166e-05,16384.0,37
80,2973696,60.7,-8.4567,0.6952,17.6,-0.023834,0.142123,53.829979,0.016325,0.0,3.9506172839506166e-05,16208.0,37
90,3096576,68.2,-8.3046,0.7457,17.5,-0.020727,0.145517,53.882832,0.019295,0.0,3.9506172839506166e-05,16280.0,37
100,3219456,75.9,-8.1651,0.6264,17.3,-0.022035,0.117589,53.945488,0.016383,0.0,3.9506172839506166e-05,16079.0,37
110,3342336,83.6,-8.0045,0.8853,17.1,-0.020357,0.113872,53.995144,0.017218,0.0,3.9506172839506166e-05,15967.0,37
120,3465216,90.6,-7.9057,0.6226,17.2,-0.022409,0.09872,54.041174,0.01634,0.0,3.9506172839506166e-05,17537.0,37
130,3588096,98.0,-7.7592,0.5321,17.0,-0.021021,0.077968,54.098551,0.016002,0.0,3.9506172839506166e-05,16569.0,37
140,3710976,105.1,-7.6269,0.4755,16.9,-0.019286,0.069266,54.144297,0.015587,0.0,3.9506172839506166e-05,17338.0,37
150,3833856,111.7,-7.4956,0.4472,16.9,-0.030181,0.0653,54.190205,0.019039,0.0,3.9506172839506166e-05,18482.0,37
160,3956736,119.1,-7.4315,0.7367,16.8,-0.021468,0.053711,54.244193,0.015454,0.0,3.9506172839506166e-05,16796.0,37
170,4079616,126.8,-7.2768,0.4082,16.7,-0.01934,0.046754,54.279627,0.017015,0.0,3.9506172839506166e-05,15870.0,37
180,4202496,134.3,-7.1521,0.3722,16.6,-0.028552,0.040634,54.320875,0.017363,0.0,3.9506172839506166e-05,16376.0,37
190,4325376,141.5,-7.0393,0.3583,16.5,-0.019634,0.034945,54.355156,0.015283,0.0,3.9506172839506166e-05,17087.0,37
200,4448256,149.0,-6.9398,0.3262,16.4,-0.027663,0.029439,54.388455,0.015854,0.0,3.9506172839506166e-05,16435.0,37
210,4571136,156.7,-6.9708,0.7088,16.8,-0.014667,0.035145,54.421116,0.016209,0.0,3.9506172839506166e-05,15980.0,37
220,4694016,163.4,-6.7542,0.3205,16.3,-0.026754,0.023055,54.449974,0.01626,0.0,3.9506172839506166e-05,18164.0,37
230,4816896,170.0,-6.6659,0.2779,16.3,-0.025271,0.021305,54.464723,0.016719,0.0,3.9506172839506166e-05,18558.0,37
240,4939776,176.7,-6.5781,0.254,16.3,-0.024471,0.017565,54.482783,0.015654,0.0,3.9506172839506166e-05,18326.0,37
