iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,9.3,-6.5344,0.6889,33.9,0.321651,0.191011,52.536375,4.037335,0.0,1e-05,13245.0,99
20,245760,17.3,-6.3866,0.7642,31.9,0.302846,0.15794,52.542032,3.954796,0.0,1e-05,15378.0,99
30,368640,25.2,-6.1869,0.7459,29.9,0.328118,0.116993,52.547394,4.382685,0.0,1e-05,15415.0,99
40,491520,33.3,-5.99,0.6843,27.8,0.256687,0.088596,52.552959,4.439033,0.0,1e-05,15299.0,99
50,614400,41.3,-5.7623,0.5581,25.3,0.256896,0.072896,52.559023,4.696826,0.0,1e-05,15255.0,99
60,737280,50.0,-5.5652,0.4671,22.9,0.242286,0.064605,52.565521,4.984102,0.0,1e-05,14246.0,99
70,860160,58.0,-5.4983,0.3227,22.1,0.23996,0.058797,52.571754,5.13664,0.0,1e-05,15216.0,99
80,983040,66.2,-5.4711,0.3035,21.6,0.231108,0.05166,52.578075,4.892153,0.0,1e-05,15126.0,99
90,1105920,74.4,-5.4164,0.2769,21.0,0.231812,0.045711,52.586199,4.960216,0.0,1e-05,14912.0,99
100,1228800,82.5,-5.3533,0.231,20.3,0.213673,0.039985,52.593972,4.741486,0.0,1e-05,15153.0,99
110,1351680,91.1,-5.3132,0.3002,20.0,0.213051,0.036726,52.600389,4.742562,0.0,1e-05,14224.0,99
120,1474560,99.3,-5.2942,0.209,19.8,0.215227,0.033172,52.607336,4.578052,0.0,1e-05,15019.0,99
130,1597440,107.5,-5.285,0.2101,19.6,0.209389,0.030996,52.61375,4.496821,0.0,1e-05,15011.0,99
140,1720320,115.7,-5.2677,0.1934,19.4,0.203558,0.026395,52.620407,4.251116,0.0,1e-05,14993.0,99
150,1843200,123.9,-5.2569,0.1828,19.2,0.195201,0.025465,52.628821,inf,0.0,1e-05,15023.0,99
160,1966080,132.7,-5.299,0.2602,19.7,0.156,0.020459,52.637212,3.692891,0.0,1e-05,13941.0,99
10,2113536,9.1,-5.2724,0.1708,19.1,0.128096,0.013731,52.693142,2.712282,0.0,1e-05,13571.0,101
20,2236416,16.9,-5.2909,0.193,19.4,0.117295,0.015924,52.702031,2.972789,0.0,1e-05,15646.0,101
30,2359296,24.8,-5.3196,0.2133,19.7,0.129096,0.015938,52.710523,2.633256,0.0,1e-05,15632.0,101
40,2482176,32.6,-5.3506,0.2526,20.1,0.119327,0.015995,52.717794,2.432709,0.0,1e-05,15670.0,101
50,2605056,40.5,-5.3755,0.2756,20.5,0.111548,0.016572,52.724784,2.307827,0.0,1e-05,15594.0,101
60,2727936,49.0,-5.3883,0.3613,20.6,0.15163,0.018897,52.732155,2.190223,0.0,1e-05,14381.0,101
70,2850816,56.9,-5.4333,0.331,21.2,0.155561,0.017633,52.738992,2.09942,0.0,1e-05,15676.0,101
80,2973696,64.7,-5.4287,0.301,21.2,0.108937,0.016803,52.746191,inf,0.0,1e-05,15725.0,101
90,3096576,72.5,-5.4256,0.2901,21.2,0.115698,0.016617,52.752932,1.783947,0.0,1e-05,15646.0,101
100,3219456,80.6,-5.4276,0.2955,21.2,0.131572,0.015509,52.759041,1.703834,0.0,1e-05,15334.0,101
110,3342336,88.9,-5.4484,0.344,21.4,0.090973,0.014712,52.764525,1.500384,0.0,1e-05,14732.0,101
120,3465216,96.8,-5.4438,0.268,21.3,0.117699,0.016443,52.770677,1.330991,0.0,1e-05,15629.0,101
130,3588096,104.6,-5.4588,0.2636,21.4,0.122922,0.015897,52.776319,1.280135,0.0,1e-05,15638.0,101
140,3710976,112.5,-5.4803,0.2767,21.6,0.079004,0.014648,52.781804,1.167565,0.0,1e-05,15685.0,101
150,3833856,120.3,-5.4828,0.2785,21.6,0.092869,0.015627,52.786935,1.066446,0.0,1e-05,15689.0,101
160,3956736,128.6,-5.542,0.3758,22.4,0.090874,0.015424,52.791164,1.11407,0.0,1e-05,14725.0,101
170,4079616,136.6,-5.4732,0.2604,21.5,0.103121,0.014606,52.795152,1.076224,0.0,1e-05,15397.0,101
180,4202496,144.4,-5.4593,0.2695,21.5,0.078424,0.014194,52.800793,1.016355,0.0,1e-05,15691.0,101
190,4325376,152.3,-5.459,0.2624,21.4,0.075629,0.01362,52.805232,1.037581,0.0,1e-05,15656.0,101
200,4448256,160.1,-5.4416,0.2332,21.3,0.078526,0.013928,52.809682,1.039453,0.0,1e-05,15682.0,101
210,4571136,168.5,-5.4769,0.3413,21.9,0.066085,0.013804,52.815079,1.018289,0.0,1e-05,14704.0,101
220,4694016,176.3,-5.4399,0.2434,21.5,0.090674,0.013763,52.819335,1.015699,0.0,1e-05,15710.0,101
230,4816896,184.1,-5.4511,0.2561,21.7,0.065895,0.013633,52.823495,0.997539,0.0,1e-05,15711.0,101
