iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.8,-6.6064,0.6555,38.9,0.3643,0.16932,52.535954,2.436427,2.819027,1e-05,11422.0,189
20,245760,20.1,-6.6002,0.611,38.8,0.362077,0.160971,52.540562,2.325454,2.697647,1e-05,13127.0,189
30,368640,29.5,-6.4563,0.6334,36.5,0.316432,0.128141,52.544827,2.306282,2.541472,1e-05,13061.0,189
40,491520,38.9,-6.2877,0.7096,34.0,0.332729,0.110649,52.550061,2.377828,2.418449,1e-05,13084.0,189
50,614400,48.3,-5.8893,0.7419,29.6,0.419397,0.084196,52.55453,2.687128,2.40961,1e-05,13097.0,189
60,737280,58.5,-5.3559,0.6196,24.0,0.317705,0.050809,52.558838,2.857776,2.255273,1e-05,12101.0,189
70,860160,68.0,-5.0948,0.3155,21.5,0.336397,0.03824,52.562472,2.699236,2.198416,1e-05,12902.0,189
80,983040,77.5,-5.0592,0.2358,20.9,0.288995,0.033516,52.566649,2.461821,2.119518,1e-05,12953.0,189
90,1105920,87.0,-5.078,0.2316,20.8,0.2392,0.031333,52.570917,2.089427,2.076006,1e-05,12839.0,189
100,1228800,96.6,-5.1246,0.2434,20.8,0.255107,0.027724,52.57541,1.919345,1.98986,1e-05,12802.0,189
110,1351680,106.7,-5.2459,0.3404,22.0,0.236729,0.031705,52.579843,1.571894,1.9655,1e-05,12168.0,189
120,1474560,116.2,-5.3016,0.3797,21.7,0.221079,0.033312,52.58446,1.517589,1.944907,1e-05,13052.0,189
130,1597440,125.7,-5.3535,0.4288,22.0,0.221832,0.03292,52.589166,1.445578,1.878343,1e-05,12822.0,189
140,1720320,135.2,-5.4451,0.4921,22.6,0.202331,0.037424,52.59406,1.301358,1.845858,1e-05,12965.0,189
150,1843200,144.8,-5.59,0.5725,23.8,0.221679,0.041147,52.59901,1.209563,1.808525,1e-05,12767.0,189
160,1966080,154.9,-5.6204,0.6324,23.5,0.154177,0.038658,52.604254,1.208419,1.753557,1e-05,12153.0,189
10,2113536,10.9,-5.6321,0.5966,23.3,0.324186,0.030875,52.63096,1.093931,1.579292,1e-05,11297.0,191
20,2236416,20.2,-5.6402,0.5725,22.7,0.124195,0.03441,52.635173,1.043387,1.538036,1e-05,13152.0,191
30,2359296,29.6,-5.6758,0.6047,22.6,0.119689,0.032336,52.63931,1.009761,1.535485,1e-05,13108.0,191
40,2482176,39.1,-5.7131,0.6094,22.7,0.101999,0.033573,52.643545,0.983884,1.502271,1e-05,12977.0,191
50,2605056,48.4,-5.7565,0.6355,22.8,0.103484,0.036532,52.648443,1.027173,1.47736,1e-05,13095.0,191
60,2727936,58.5,-5.7914,0.6758,22.7,0.114851,0.037973,52.653356,0.952399,1.512798,1e-05,12221.0,191
70,2850816,67.9,-5.8794,0.6935,23.4,0.126367,0.042317,52.65841,0.970509,1.45453,1e-05,13135.0,191
80,2973696,77.2,-5.963,0.7324,23.9,0.106482,0.042698,52.662883,0.973087,1.446164,1e-05,13098.0,191
90,3096576,86.7,-5.9905,0.7253,24.0,0.087146,0.044976,52.66697,0.908879,1.377236,1e-05,13022.0,191
100,3219456,96.1,-6.0364,0.7388,24.2,0.079603,0.039338,52.672035,0.969357,1.375783,1e-05,13069.0,191
110,3342336,106.3,-6.0062,0.7294,23.6,0.086352,0.042788,52.677233,1.05788,1.39257,1e-05,12045.0,191
120,3465216,115.7,-5.9726,0.6822,23.3,0.088376,0.038928,52.682419,1.095359,1.369814,1e-05,13102.0,191
130,3588096,125.1,-5.9218,0.6327,22.7,0.062972,0.035369,52.687387,1.197898,1.379975,1e-05,13023.0,191
140,3710976,134.5,-5.8722,0.592,22.1,0.068131,0.03435,52.692653,1.282625,1.364999,1e-05,13066.0,191
150,3833856,144.0,-5.7681,0.5236,21.2,0.077126,0.026291,52.697874,1.412119,1.33672,1e-05,12930.0,191
160,3956736,154.1,-5.6461,0.5242,20.0,0.084021,0.024371,52.703666,1.535824,1.359529,1e-05,12200.0,191
170,4079616,163.7,-5.5781,0.3915,19.5,0.082045,0.021703,52.709331,1.711192,1.281973,1e-05,12827.0,191
180,4202496,173.1,-5.471,0.3291,18.7,0.116604,0.016391,52.715623,1.84239,1.278806,1e-05,12991.0,191
190,4325376,182.6,-5.3588,0.2597,18.1,0.111156,0.013181,52.721332,2.019498,1.305987,1e-05,13001.0,191
200,4448256,192.0,-5.2519,0.2134,17.6,0.117763,0.012451,52.728056,2.118489,1.273221,1e-05,12964.0,191
210,4571136,201.7,-5.2186,0.269,18.0,0.127414,0.012685,52.734576,1.680508,1.251407,1e-05,12670.0,191
220,4694016,211.2,-5.13,0.1792,17.4,0.12625,0.012531,52.741268,2.008665,1.223182,1e-05,12993.0,191
230,4816896,220.7,-5.0813,0.1615,17.4,0.139155,0.011022,52.74795,1.962871,1.23203,1e-05,12911.0,191
240,4939776,230.2,-5.0518,0.1558,17.5,0.13175,0.011096,52.753938,1.994388,1.24465,1e-05,12976.0,191
250,5062656,239.6,-5.0281,0.1483,17.5,0.124272,0.009721,52.760019,1.910991,1.201433,1e-05,13011.0,191
260,5185536,249.3,-5.0026,0.2073,17.6,0.123119,0.009296,52.766276,1.477217,1.203005,1e-05,12772.0,191
270,5308416,258.6,-4.9885,0.142,17.7,0.133651,0.009313,52.7724,1.940434,1.200363,1e-05,13128.0,191
280,5431296,268.1,-4.973,0.1437,17.8,0.115064,0.009077,52.778426,1.798513,1.189083,1e-05,12988.0,191
290,5554176,277.9,-4.9462,0.1402,17.7,0.11867,0.00929,52.783663,1.613784,1.157335,1e-05,12540.0,191
300,5677056,288.0,-4.9303,0.1433,17.7,0.122949,0.008873,52.788548,1.647185,1.140164,1e-05,12159.0,191
310,5799936,297.6,-4.9078,0.1993,17.3,0.117875,0.009054,52.794277,1.365147,1.108292,1e-05,12774.0,191
320,5922816,307.0,-4.9229,0.1509,17.6,0.101417,0.009078,52.799646,1.66242,1.109223,1e-05,13005.0,191
330,6045696,316.4,-4.911,0.1658,17.5,0.123409,0.008743,52.804097,1.808296,1.146188,1e-05,13097.0,191
340,6168576,325.9,-4.9103,0.1711,17.5,0.090365,0.00919,52.808898,1.572161,1.183973,1e-05,12969.0,191
350,6291456,335.4,-4.9212,0.2025,17.4,0.084923,0.009472,52.814129,1.668859,1.132304,1e-05,12950.0,191
360,6414336,345.3,-4.963,0.2654,18.1,0.081876,0.009606,52.81892,1.509753,1.143901,1e-05,12410.0,191
370,6537216,354.7,-4.9419,0.2542,17.5,0.092523,0.009751,52.824105,1.696294,1.128688,1e-05,13052.0,191
380,6660096,364.2,-4.9593,0.2616,17.5,0.064063,0.010883,52.828988,1.83081,1.099437,1e-05,13004.0,191
390,6782976,373.6,-4.982,0.2865,17.5,0.059353,0.012089,52.835501,1.892035,1.104387,1e-05,13022.0,191
400,6905856,383.1,-5.0004,0.277,17.3,0.048719,0.01503,52.842551,2.143594,1.105836,1e-05,12887.0,191
410,7028736,392.9,-5.0365,0.3072,17.5,0.046799,0.01037,52.849981,2.204212,1.080553,1e-05,12598.0,191
420,7151616,402.4,-5.0057,0.2417,16.9,0.055493,0.009388,52.857444,2.307924,1.091969,1e-05,12888.0,191
430,7274496,411.8,-4.9992,0.2142,16.8,0.047832,0.010098,52.865553,2.307093,1.097464,1e-05,13035.0,191
440,7397376,421.3,-4.9811,0.213,16.8,0.041156,0.007889,52.874218,2.333712,1.068395,1e-05,13049.0,191
450,7520256,430.7,-4.9547,0.181,16.7,0.039455,0.008173,52.883353,2.409148,1.04357,1e-05,13057.0,191
460,7643136,440.4,-4.9689,0.2303,17.2,1.186803,0.008812,52.893161,3.278395,1.087054,1e-05,12648.0,191
470,7766016,449.8,-4.9439,0.173,16.8,0.04355,0.008247,52.901624,2.611845,1.0532,1e-05,13058.0,191
480,7888896,459.7,-4.9404,0.1653,16.9,0.046964,0.006964,52.909066,2.338875,1.060368,1e-05,12429.0,191
490,8011776,469.1,-4.912,0.1572,17.0,0.042381,0.007076,52.916802,2.352321,1.049095,1e-05,13116.0,191
500,8134656,478.5,-4.9,0.1528,17.0,0.04169,0.006766,52.924747,2.273126,1.069828,1e-05,13046.0,191
510,8257536,488.1,-4.9122,0.1937,17.5,0.03503,0.006811,52.931488,2.360851,1.089505,1e-05,12763.0,191
520,8380416,497.4,-4.8801,0.1426,17.1,0.033535,0.006494,52.937156,2.23778,1.052684,1e-05,13201.0,191
530,8503296,506.8,-4.8648,0.1421,17.2,0.110413,0.005927,52.943108,2.143982,1.048371,1e-05,13035.0,191
540,8626176,516.3,-4.8615,0.1442,17.2,0.050839,0.005922,52.949137,2.07581,1.050438,1e-05,13046.0,191
550,8749056,525.7,-4.8704,0.1537,17.3,0.039899,0.006451,52.954987,1.892699,0.999384,1e-05,13053.0,191
560,8871936,535.2,-4.8727,0.1945,17.7,0.035542,0.006274,52.960205,1.466564,1.028006,1e-05,12838.0,191
570,8994816,544.6,-4.8701,0.1642,17.5,0.052247,0.006212,52.964883,1.676598,1.062515,1e-05,13081.0,191
580,9117696,554.5,-4.8785,0.172,17.6,0.039968,0.006371,52.969422,1.691291,1.016148,1e-05,12491.0,191
590,9240576,563.9,-4.8635,0.1745,17.7,0.043792,0.006702,52.973527,1.617801,1.046276,1e-05,12978.0,191
600,9363456,573.4,-4.864,0.1854,17.7,0.046059,0.007589,52.977128,1.438366,1.047457,1e-05,13047.0,191
610,9486336,583.1,-4.9026,0.2272,18.4,0.067681,0.007527,52.981149,1.44797,1.0445,1e-05,12650.0,191
620,9609216,592.5,-4.8955,0.2178,18.0,0.047163,0.008505,52.985005,1.309821,1.012484,1e-05,13058.0,191
630,9732096,601.9,-4.9136,0.2303,18.2,0.058514,0.011056,52.988553,1.369955,1.061098,1e-05,12988.0,191
640,9854976,611.4,-4.9417,0.2558,18.4,0.104658,0.014096,52.992051,1.308836,1.013395,1e-05,12997.0,191
650,9977856,621.0,-4.9843,0.291,18.7,0.070469,0.014271,52.995687,1.188973,1.017773,1e-05,12843.0,191
660,10100736,630.9,-5.0597,0.346,19.7,0.067433,0.016516,52.998488,1.05734,1.05354,1e-05,12352.0,191
670,10223616,640.4,-5.0653,0.3425,19.3,0.210217,0.01836,53.002343,1.165087,1.010288,1e-05,12987.0,191
680,10346496,649.9,-5.1107,0.3565,19.6,0.153576,0.022465,53.006058,1.124161,1.061109,1e-05,12960.0,191
690,10469376,659.3,-5.1505,0.376,19.9,0.055827,0.018783,53.009732,1.133557,1.029618,1e-05,12955.0,191
700,10592256,668.8,-5.1803,0.3649,20.3,0.128482,0.021737,53.01351,1.097709,1.040698,1e-05,12959.0,191
710,10715136,678.8,-5.2004,0.4235,20.2,0.07096,0.021316,53.017226,1.018813,1.053016,1e-05,12314.0,191
720,10838016,688.3,-5.292,0.3875,21.0,0.078787,0.021686,53.020468,1.030701,1.067586,1e-05,12964.0,191
730,10960896,697.7,-5.3242,0.3932,21.4,0.062201,0.022596,53.024289,0.979394,0.987761,1e-05,13010.0,191
740,11083776,707.2,-5.413,0.4234,21.9,0.074882,0.022672,53.027872,1.087728,1.025124,1e-05,12970.0,191
750,11206656,716.7,-5.4664,0.4395,22.3,0.054464,0.027543,53.031151,0.938687,1.007759,1e-05,12938.0,191
760,11329536,726.7,-5.4863,0.4935,21.9,0.048567,0.02567,53.035179,0.941762,1.023662,1e-05,12263.0,191
770,11452416,736.2,-5.563,0.4504,22.7,0.050789,0.026227,53.039076,0.93054,1.034641,1e-05,12955.0,191
780,11575296,745.7,-5.6107,0.4742,23.0,0.045121,0.026156,53.043598,0.946786,1.069123,1e-05,12990.0,191
