iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.8,-6.0323,0.442,40.5,0.203506,2.796177,52.539224,0.494446,0.0,1e-05,11405.0,187
20,245760,19.6,-6.0558,0.4655,41.0,0.221234,3.139771,52.544351,0.534951,0.0,1e-05,13864.0,187
30,368640,28.5,-6.0862,0.4521,41.4,0.213414,3.05018,52.549833,0.590391,0.0,1e-05,13841.0,187
40,491520,37.1,-6.0981,0.4573,41.4,0.217561,3.130286,52.555298,0.659614,0.0,1e-05,14248.0,187
50,614400,46.0,-6.1153,0.4954,41.8,0.228923,3.192941,52.560524,0.762744,0.0,1e-05,13923.0,187
60,737280,56.7,-5.9885,0.6481,39.4,0.230245,3.313941,52.565131,0.854565,0.0,1e-05,11455.0,187
70,860160,65.5,-6.187,0.5183,42.3,0.225047,3.501226,52.569994,0.996974,0.0,1e-05,13924.0,187
80,983040,74.3,-6.2193,0.5223,42.6,0.246546,3.693529,52.575089,1.137851,0.0,1e-05,13925.0,187
90,1105920,83.2,-6.2502,0.5481,42.8,0.245061,4.132512,52.579699,1.264381,0.0,1e-05,13912.0,187
100,1228800,92.0,-6.2961,0.5639,42.9,0.253523,4.418642,52.583554,1.471576,0.0,1e-05,13896.0,187
110,1351680,102.5,-6.1457,0.7581,40.2,0.267939,4.769157,52.587217,1.685557,0.0,1e-05,11749.0,187
120,1474560,111.5,-6.36,0.6307,43.0,0.270563,5.223608,52.590395,1.955576,0.0,1e-05,13547.0,187
130,1597440,119.7,-6.3855,0.6387,42.8,0.291641,5.951735,52.593719,2.210746,0.0,1e-05,15069.0,187
140,1720320,127.5,-6.4179,0.6722,42.7,0.343124,6.556295,52.597095,2.446543,0.0,1e-05,15846.0,187
150,1843200,135.2,-6.4035,0.6894,41.8,0.324316,6.948121,52.600208,2.772596,0.0,1e-05,15776.0,187
160,1966080,144.8,-6.2171,0.8167,38.4,0.367106,8.277808,52.603276,2.79772,0.0,1e-05,12796.0,187
10,2113536,9.2,-6.1672,0.7159,34.7,0.439292,20.169236,52.630501,3.638232,0.0,1e-05,13349.0,188
20,2236416,16.9,-6.2096,0.7817,32.8,0.399501,19.283957,52.63609,3.736221,0.0,1e-05,15948.0,188
30,2359296,24.6,-6.2426,0.7752,32.7,0.374179,17.026038,52.641277,4.745753,0.0,1e-05,15936.0,188
40,2482176,32.3,-6.2683,0.7799,32.7,0.411755,15.890756,52.647113,4.378977,0.0,1e-05,15975.0,188
50,2605056,40.1,-6.2397,0.7868,32.3,0.449289,14.397253,52.65337,4.10573,0.0,1e-05,15858.0,188
60,2727936,48.6,-6.1559,0.8425,31.1,0.38832,13.302207,52.659172,3.978693,0.0,1e-05,14350.0,188
70,2850816,56.3,-6.252,0.7489,32.2,0.339894,11.265761,52.66405,4.240497,0.0,1e-05,15934.0,188
80,2973696,64.2,-6.2156,0.7471,32.1,0.415495,11.609993,52.669621,4.103474,0.0,1e-05,15711.0,188
90,3096576,71.9,-6.2202,0.7396,31.9,0.373785,10.545758,52.675822,4.323645,0.0,1e-05,15934.0,188
100,3219456,79.6,-6.214,0.736,31.9,0.409282,9.842428,52.681744,4.021454,0.0,1e-05,15873.0,188
110,3342336,88.2,-6.2157,0.8131,32.1,0.338648,9.522592,52.687267,3.885357,0.0,1e-05,14370.0,188
120,3465216,95.9,-6.1787,0.6714,31.3,0.386562,8.653891,52.693954,3.93834,0.0,1e-05,15864.0,188
130,3588096,103.6,-6.2177,0.7194,31.8,0.456036,8.58728,52.699975,4.037338,0.0,1e-05,15912.0,188
140,3710976,111.4,-6.2028,0.6975,31.5,0.364471,8.287792,52.705515,4.374343,0.0,1e-05,15820.0,188
150,3833856,119.3,-6.2066,0.7008,31.7,0.365709,7.935861,52.710623,3.850094,0.0,1e-05,15628.0,188
160,3956736,127.8,-6.1891,0.7885,31.6,0.410546,7.708738,52.71452,4.523888,0.0,1e-05,14355.0,188
170,4079616,135.6,-6.2,0.6973,31.3,0.427839,7.691976,52.719419,3.959883,0.0,1e-05,15885.0,188
180,4202496,143.3,-6.2112,0.7039,31.5,0.368878,7.522693,52.724796,3.950168,0.0,1e-05,15862.0,188
190,4325376,151.2,-6.1798,0.6924,31.3,0.37132,7.124287,52.730564,3.834198,0.0,1e-05,15575.0,188
200,4448256,158.9,-6.1788,0.6857,31.3,0.340655,6.577661,52.736069,3.787051,0.0,1e-05,15918.0,188
210,4571136,167.5,-6.1047,0.775,30.5,0.345124,6.901258,52.741261,4.095929,0.0,1e-05,14360.0,188
220,4694016,175.2,-6.1818,0.6795,31.2,0.355825,6.631962,52.746449,3.837767,0.0,1e-05,15892.0,188
230,4816896,183.0,-6.1857,0.6983,31.2,0.385618,6.809217,52.751469,4.227442,0.0,1e-05,15740.0,188
240,4939776,190.7,-6.1771,0.6952,31.1,0.454477,6.270049,52.755315,3.953867,0.0,1e-05,15891.0,188
250,5062656,198.5,-6.1983,0.6734,31.1,0.37052,6.167192,52.7606,4.228663,0.0,1e-05,15841.0,188
260,5185536,207.3,-6.1827,0.7821,31.3,0.38753,6.227836,52.765543,3.877053,0.0,1e-05,14033.0,188
270,5308416,215.0,-6.1952,0.6767,31.0,0.358819,6.07592,52.770568,3.861987,0.0,1e-05,15866.0,188
280,5431296,222.7,-6.2227,0.6985,31.2,1.059522,5.960305,52.775377,5.316016,0.0,1e-05,15970.0,188
290,5554176,230.5,-6.219,0.6874,31.0,0.376104,6.119585,52.780539,3.949355,0.0,1e-05,15783.0,188
300,5677056,238.3,-6.2015,0.6805,30.8,0.426652,5.435848,52.785254,4.297003,0.0,1e-05,15674.0,188
310,5799936,246.9,-6.246,0.7718,31.6,0.378272,6.024027,52.789508,4.182122,0.0,1e-05,14329.0,188
320,5922816,254.6,-6.2193,0.698,30.9,0.368064,5.562486,52.794071,3.860985,0.0,1e-05,15868.0,188
330,6045696,262.4,-6.1935,0.6979,30.6,0.429468,5.459524,52.798784,4.10056,0.0,1e-05,15884.0,188
340,6168576,270.3,-6.217,0.7031,30.9,0.346251,5.296037,52.803475,3.919333,0.0,1e-05,15583.0,188
350,6291456,278.0,-6.2247,0.6964,31.0,0.50528,5.223905,52.809014,4.047732,0.0,1e-05,15942.0,188
360,6414336,286.5,-6.2384,0.7917,31.3,0.674909,5.393521,52.813187,4.239756,0.0,1e-05,14348.0,188
370,6537216,294.3,-6.2347,0.713,31.0,0.48378,5.182903,52.818326,4.108662,0.0,1e-05,15817.0,188
380,6660096,302.0,-6.2394,0.6919,30.9,0.400277,5.029137,52.823583,3.92517,0.0,1e-05,15901.0,188
390,6782976,309.8,-6.2365,0.6909,30.9,0.441206,4.913772,52.828259,4.116658,0.0,1e-05,15857.0,188
400,6905856,317.5,-6.2308,0.6967,30.8,0.367986,4.802218,52.832515,4.20042,0.0,1e-05,15866.0,188
410,7028736,326.2,-6.2009,0.7969,30.7,0.384312,4.731894,52.836382,4.185876,0.0,1e-05,14110.0,188
420,7151616,334.0,-6.2223,0.7101,30.8,0.399746,4.919034,52.840532,5.140768,0.0,1e-05,15800.0,188
430,7274496,341.8,-6.248,0.7277,31.0,0.386729,4.653322,52.845273,4.104286,0.0,1e-05,15826.0,188
440,7397376,349.5,-6.2205,0.6997,30.7,0.3844,4.456703,52.849442,4.064438,0.0,1e-05,15820.0,188
450,7520256,357.3,-6.2209,0.7037,30.6,0.358502,4.26306,52.853518,4.306944,0.0,1e-05,15807.0,188
460,7643136,365.9,-6.1861,0.8098,30.5,0.414481,4.595887,52.857306,4.082832,0.0,1e-05,14301.0,188
470,7766016,373.7,-6.2292,0.7172,30.7,0.351691,4.329882,52.861873,4.011065,0.0,1e-05,15803.0,188
480,7888896,381.4,-6.2323,0.7167,30.6,0.364245,4.473928,52.865439,4.077898,0.0,1e-05,15853.0,188
490,8011776,389.3,-6.2038,0.713,30.5,0.340552,4.221338,52.869359,4.121056,0.0,1e-05,15608.0,188
500,8134656,397.1,-6.2225,0.7201,30.6,0.375525,4.171273,52.873697,4.642767,0.0,1e-05,15861.0,188
510,8257536,405.7,-6.1769,0.8209,30.4,0.371442,3.922519,52.876781,4.124265,0.0,1e-05,14287.0,188
520,8380416,413.5,-6.2161,0.7042,30.4,0.379213,3.944577,52.880274,4.054546,0.0,1e-05,15736.0,188
530,8503296,421.2,-6.2122,0.725,30.4,0.359155,3.674702,52.883771,4.430447,0.0,1e-05,15823.0,188
540,8626176,429.0,-6.2284,0.7378,30.8,0.397414,4.102635,52.887691,4.08605,0.0,1e-05,15814.0,188
550,8749056,436.8,-6.2215,0.7206,30.5,0.36443,3.824174,52.891486,4.113332,0.0,1e-05,15843.0,188
560,8871936,445.4,-6.1639,0.8162,30.0,0.690374,3.893659,52.895243,4.797272,0.0,1e-05,14199.0,188
570,8994816,453.3,-6.2072,0.7181,30.5,0.381461,3.8726,52.89893,4.011262,0.0,1e-05,15654.0,188
580,9117696,461.0,-6.198,0.708,30.3,0.375086,3.542488,52.90272,4.69184,0.0,1e-05,15795.0,188
590,9240576,468.8,-6.1838,0.7231,30.3,0.403619,3.577372,52.907158,4.285207,0.0,1e-05,15803.0,188
600,9363456,476.6,-6.2042,0.7287,30.6,0.389563,3.528975,52.911638,3.999333,0.0,1e-05,15769.0,188
610,9486336,485.2,-6.1184,0.8055,29.6,0.357651,3.68764,52.915203,4.128333,0.0,1e-05,14295.0,188
