iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.3,-12.7978,2.4312,31.2,-0.027094,9.845584,52.573266,0.02002,0.0,2.6337448559670777e-05,11959.0,53
20,245760,18.9,-12.7884,2.3847,31.4,-0.034019,4.355121,52.643355,0.018102,0.0,2.6337448559670777e-05,14270.0,53
30,368640,27.5,-12.7003,2.404,31.4,-0.033854,2.858114,52.703913,0.016074,0.0,2.6337448559670777e-05,14276.0,53
40,491520,36.1,-12.4263,2.2779,30.8,-0.03343,1.996011,52.762216,0.015848,0.0,2.6337448559670777e-05,14237.0,53
50,614400,44.9,-12.2228,2.3493,30.4,-0.044698,1.668958,52.829514,0.017319,0.0,2.6337448559670777e-05,13947.0,53
60,737280,54.7,-11.7503,2.4787,29.0,-0.044361,1.319333,52.901081,0.018189,0.0,2.6337448559670777e-05,12641.0,53
70,860160,63.4,-11.6531,2.2495,28.8,-0.043752,1.084702,52.97179,0.016679,0.0,2.6337448559670777e-05,14097.0,53
80,983040,72.2,-11.2642,2.2218,27.6,-0.04297,0.985775,53.039274,0.017476,0.0,2.6337448559670777e-05,13987.0,53
90,1105920,80.7,-10.5632,2.0727,25.1,-0.043057,0.758127,53.105838,0.017454,0.0,2.6337448559670777e-05,14431.0,53
100,1228800,89.4,-9.9505,1.817,22.7,-0.043656,0.60436,53.161372,0.016734,0.0,2.6337448559670777e-05,14079.0,53
110,1351680,99.1,-9.4079,1.6534,20.8,-0.029847,0.445177,53.220933,0.015514,0.0,2.6337448559670777e-05,12718.0,53
120,1474560,107.9,-9.0278,1.2036,19.6,-0.039903,0.347503,53.27747,0.017866,0.0,2.6337448559670777e-05,13894.0,53
130,1597440,116.8,-8.6975,0.9881,18.9,-0.039582,0.269466,53.339348,0.017341,0.0,2.6337448559670777e-05,13891.0,53
140,1720320,125.6,-8.5151,1.0299,18.8,-0.040506,0.265219,53.398007,0.017206,0.0,2.6337448559670777e-05,13855.0,53
150,1843200,134.5,-8.3,0.9613,18.6,-0.039626,0.210694,53.452076,0.017415,0.0,2.6337448559670777e-05,13886.0,53
160,1966080,144.8,-8.1039,1.0545,18.3,-0.038177,0.172822,53.517972,0.017033,0.0,2.6337448559670777e-05,11950.0,53
10,2113536,8.9,-8.1397,1.2891,19.1,-0.006742,0.214336,53.59681,0.021411,0.0,3.9506172839506166e-05,13750.0,54
20,2236416,16.5,-7.6968,0.7307,18.0,-0.021581,0.158828,53.655401,0.017265,0.0,3.9506172839506166e-05,16202.0,54
30,2359296,24.1,-7.4833,0.5939,17.6,-0.019334,0.127176,53.701977,0.016998,0.0,3.9506172839506166e-05,16290.0,54
