iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.6,-6.5983,0.6734,40.6,0.36128,0.222714,52.540201,3.258467,0.0,1e-05,11593.0,188
20,245760,19.7,-6.5209,0.7285,41.3,0.342181,0.190852,52.545554,3.484097,0.0,1e-05,13527.0,188
30,368640,28.8,-6.4597,0.735,40.3,0.34135,0.14758,52.550339,3.593147,0.0,1e-05,13433.0,188
40,491520,37.9,-6.3029,0.7064,37.9,0.30109,0.130208,52.555028,3.605481,0.0,1e-05,13505.0,188
50,614400,47.2,-6.2128,0.7177,36.5,0.314201,0.106495,52.559352,3.472842,0.0,1e-05,13325.0,188
60,737280,57.1,-6.0436,0.768,34.4,0.323877,0.094737,52.563807,3.543509,0.0,1e-05,12366.0,188
70,860160,66.3,-5.8728,0.6768,32.0,0.327753,0.08319,52.567734,3.577268,0.0,1e-05,13370.0,188
80,983040,75.6,-5.6494,0.6011,29.0,0.320032,0.06822,52.57256,3.653032,0.0,1e-05,13250.0,188
90,1105920,84.8,-5.4159,0.4861,26.2,0.298015,0.057154,52.577337,3.512913,0.0,1e-05,13329.0,188
100,1228800,94.0,-5.2385,0.3795,24.2,0.300831,0.048192,52.58235,3.442126,0.0,1e-05,13254.0,188
110,1351680,104.1,-5.0907,0.3366,22.1,0.303844,0.044385,52.587459,3.353999,0.0,1e-05,12263.0,188
120,1474560,113.3,-5.0617,0.2777,21.9,0.271706,0.039631,52.592628,3.261386,0.0,1e-05,13241.0,188
130,1597440,122.7,-5.0265,0.26,21.3,0.258329,0.040576,52.597593,3.140094,0.0,1e-05,13177.0,188
140,1720320,131.9,-5.0324,0.2729,21.2,0.272816,0.037254,52.602008,3.002734,0.0,1e-05,13262.0,188
150,1843200,141.2,-5.0274,0.2665,21.1,0.25106,0.033255,52.607965,2.855793,0.0,1e-05,13261.0,188
