iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,11.5,-6.4818,0.5617,40.1,0.367658,0.194432,52.529909,2.861877,6.81949,1e-05,10648.0,187
20,245760,21.5,-6.4557,0.534,40.0,0.368018,0.163856,52.534734,2.825421,6.853649,1e-05,12358.0,187
30,368640,31.4,-6.4564,0.5086,39.6,0.360663,0.154214,52.53922,2.636881,6.579649,1e-05,12340.0,187
40,491520,41.4,-6.4556,0.5025,39.8,0.354652,0.158646,52.544226,2.588262,6.258238,1e-05,12352.0,187
50,614400,51.3,-6.4785,0.4873,40.1,0.353276,0.13511,52.548966,2.515471,6.180363,1e-05,12350.0,187
60,737280,62.9,-6.4612,0.6809,39.9,0.315363,0.13531,52.553124,2.35393,5.576068,1e-05,10666.0,187
70,860160,72.8,-6.5675,0.5108,41.1,0.325487,0.122214,52.557857,2.313788,5.748187,1e-05,12303.0,187
80,983040,82.8,-6.5693,0.5133,40.9,0.274017,0.109444,52.561947,2.25445,5.65983,1e-05,12348.0,187
90,1105920,92.8,-6.5714,0.5826,40.7,0.258025,0.103962,52.566741,2.178916,5.375297,1e-05,12326.0,187
100,1228800,102.8,-6.5255,0.663,39.3,0.263971,0.093329,52.571922,2.214029,5.309176,1e-05,12203.0,187
110,1351680,114.2,-6.2359,0.8211,35.4,0.254471,0.087353,52.576208,2.304777,5.220586,1e-05,10825.0,187
120,1474560,124.4,-6.0085,0.8134,33.0,0.448168,0.076501,52.580709,2.585059,5.316448,1e-05,12003.0,187
130,1597440,134.6,-5.5939,0.7899,28.4,0.269315,0.06088,52.585548,2.649796,5.126667,1e-05,12086.0,187
140,1720320,144.7,-5.2101,0.4921,23.6,0.21948,0.045383,52.589985,2.839769,5.082365,1e-05,12108.0,187
150,1843200,155.0,-5.0444,0.3173,21.4,0.26311,0.040459,52.595223,2.80555,4.981367,1e-05,11930.0,187
160,1966080,165.7,-4.9926,0.3416,20.4,0.227003,0.038874,52.600666,2.838891,4.953037,1e-05,11583.0,187
10,2052096,9.8,-5.1215,0.3965,19.9,0.145926,0.033283,52.6283,2.372343,4.695246,1e-05,6247.0,104
20,2113536,17.9,-5.2335,0.441,20.2,0.139317,0.031852,52.633312,2.183715,4.636291,1e-05,7660.0,104
10,2052096,10.3,-5.1215,0.3965,19.9,0.145926,0.033283,52.6283,2.372343,4.695246,1e-05,5947.0,104
20,2113536,18.7,-5.2335,0.441,20.2,0.139317,0.031852,52.633312,2.183715,4.636291,1e-05,7359.0,104
