iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,11.0,-6.5878,0.647,39.1,0.39645,0.16953,52.538536,2.427608,6.921472,1e-05,11211.0,189
20,245760,20.3,-6.5523,0.6098,38.9,0.36853,0.151441,52.54358,2.270071,6.715413,1e-05,13129.0,189
30,368640,29.8,-6.4807,0.615,37.7,0.306305,0.118237,52.548807,2.146517,6.241688,1e-05,12991.0,189
40,491520,40.1,-6.3944,0.6547,36.5,0.294164,0.099829,52.553495,2.09677,6.030982,1e-05,11925.0,189
50,614400,50.8,-6.1158,0.7069,33.0,0.300904,0.076371,52.558402,2.155581,5.87591,1e-05,11439.0,189
60,737280,62.3,-5.5736,0.6937,26.9,0.264345,0.059499,52.562467,2.246384,5.664202,1e-05,10683.0,189
70,860160,73.0,-5.2218,0.4579,23.3,0.276771,0.039102,52.566691,2.278011,5.57543,1e-05,11512.0,189
80,983040,83.5,-5.0297,0.2586,21.0,0.267447,0.029503,52.57086,2.073762,5.313194,1e-05,11745.0,189
90,1105920,94.2,-5.0195,0.2253,20.5,0.233038,0.027923,52.575434,1.806226,5.330464,1e-05,11421.0,189
100,1228800,105.0,-5.0592,0.2485,20.4,0.216824,0.027195,52.579902,1.642555,5.365976,1e-05,11384.0,189
110,1351680,116.3,-5.0955,0.3496,20.2,0.221601,0.027971,52.584262,1.742847,5.499623,1e-05,10935.0,189
120,1474560,127.0,-5.2127,0.3805,21.2,0.192815,0.033803,52.588383,1.377887,5.275118,1e-05,11432.0,189
130,1597440,137.7,-5.2805,0.4198,21.5,0.170416,0.030594,52.593061,1.301348,5.040136,1e-05,11513.0,189
140,1720320,148.4,-5.3333,0.4953,21.7,0.290968,0.035122,52.597969,1.326157,5.08102,1e-05,11510.0,189
150,1843200,159.1,-5.4187,0.5487,22.4,0.172926,0.036746,52.602092,1.117724,4.959834,1e-05,11431.0,189
160,1966080,170.5,-5.4496,0.6138,22.4,0.226873,0.037469,52.606205,1.087439,4.953674,1e-05,10755.0,189
10,2113536,11.0,-5.6471,0.6884,24.2,0.143241,0.037283,52.625882,0.937152,4.754012,1e-05,11210.0,191
20,2236416,20.4,-5.7908,0.7262,25.2,0.12217,0.042313,52.630363,0.893384,4.678131,1e-05,13007.0,191
30,2359296,29.8,-5.832,0.7497,25.2,0.117398,0.046276,52.635774,0.921155,4.633279,1e-05,13072.0,191
40,2482176,39.3,-5.9715,0.837,26.2,0.270485,0.04923,52.64111,0.919333,4.581658,1e-05,12961.0,191
50,2605056,48.8,-6.0172,0.8451,26.3,0.108389,0.049543,52.646311,0.804238,4.443028,1e-05,12898.0,191
60,2727936,59.1,-5.9898,0.8713,25.6,0.099348,0.052736,52.651131,0.723045,4.606298,1e-05,11992.0,191
70,2850816,68.5,-6.0776,0.8813,26.5,0.103886,0.050943,52.656625,0.726539,4.412372,1e-05,12962.0,191
80,2973696,78.2,-6.089,0.8747,26.4,0.073872,0.055752,52.661725,0.699226,4.548692,1e-05,12724.0,191
90,3096576,87.7,-6.1074,0.8692,26.5,0.116018,0.059799,52.66704,0.693582,4.356681,1e-05,12908.0,191
