iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,13.3,-6.3419,0.5132,36.5,0.365188,0.134998,52.532634,3.242134,0.0,1e-05,9254.0,189
20,245760,24.6,-6.3374,0.5324,37.0,0.27067,0.111618,52.538517,3.026662,0.0,1e-05,10818.0,189
30,368640,36.1,-6.3437,0.53,37.6,0.291553,0.099629,52.544804,3.118953,0.0,1e-05,10766.0,189
40,491520,47.5,-6.375,0.5837,38.5,0.270771,0.088743,52.55122,2.838503,0.0,1e-05,10763.0,189
50,614400,58.6,-6.4315,0.6564,39.7,0.256835,0.079555,52.557868,2.826933,0.0,1e-05,10995.0,189
60,737280,71.1,-6.3528,0.8118,38.6,0.244428,0.077461,52.564099,2.812896,0.0,1e-05,9861.0,189
70,860160,82.2,-6.3667,0.7148,39.1,0.250978,0.069938,52.569867,2.882677,0.0,1e-05,11101.0,189
80,983040,93.5,-6.3129,0.7033,37.9,0.26167,0.072357,52.576258,2.836904,0.0,1e-05,10852.0,189
90,1105920,104.9,-6.2887,0.7118,37.3,0.246008,0.064733,52.581709,2.802454,0.0,1e-05,10784.0,189
100,1228800,116.3,-6.2714,0.6864,36.7,0.253586,0.064063,52.588095,2.674195,0.0,1e-05,10726.0,189
110,1351680,128.6,-6.1595,0.7388,34.6,0.249837,0.062311,52.594396,2.640474,0.0,1e-05,10045.0,189
120,1474560,139.8,-6.2763,0.6528,36.2,0.242543,0.057503,52.600743,2.544804,0.0,1e-05,10913.0,189
130,1597440,151.1,-6.3069,0.6761,36.4,0.215038,0.05511,52.606771,2.492267,0.0,1e-05,10917.0,189
140,1720320,161.9,-6.2498,0.6459,35.2,0.206805,0.047446,52.613239,2.57249,0.0,1e-05,11321.0,189
150,1843200,173.2,-6.2179,0.6444,34.5,0.190199,0.042756,52.618956,2.458397,0.0,1e-05,10899.0,189
160,1966080,185.2,-6.1692,0.6824,33.2,0.283591,0.039049,52.625141,2.449782,0.0,1e-05,10270.0,189
10,2052096,9.8,-6.1002,0.5215,32.4,0.164458,0.031051,52.65644,2.100513,0.0,1e-05,6274.0,107
20,2113536,17.8,-6.0833,0.4817,31.8,0.15141,0.031528,52.661702,2.072965,0.0,1e-05,7711.0,107
30,2174976,25.8,-6.0537,0.4582,31.4,0.178017,0.03165,52.667336,1.863807,0.0,1e-05,7683.0,107
40,2236416,33.7,-6.0415,0.4438,31.1,0.148248,0.031909,52.672236,1.707685,0.0,1e-05,7692.0,107
50,2297856,41.7,-6.0623,0.4399,31.3,0.130929,0.030164,52.677698,1.700873,0.0,1e-05,7700.0,107
60,2359296,51.9,-6.0008,0.5512,30.3,0.133919,0.027985,52.683823,1.509047,0.0,1e-05,6059.0,107
70,2420736,59.9,-6.1048,0.4448,31.3,0.139239,0.032679,52.689351,1.430692,0.0,1e-05,7688.0,107
80,2482176,67.8,-6.1304,0.4324,31.4,0.134437,0.036007,52.694826,1.39816,0.0,1e-05,7692.0,107
90,2543616,75.8,-6.1273,0.4161,31.3,0.127208,0.030856,52.700488,1.450272,0.0,1e-05,7710.0,107
100,2605056,83.8,-6.074,0.3764,30.1,0.125472,0.028941,52.70581,1.303795,0.0,1e-05,7656.0,107
110,2666496,92.9,-6.0091,0.525,28.9,0.124446,0.028279,52.710764,1.305126,0.0,1e-05,6791.0,107
120,2727936,100.9,-5.9995,0.3545,28.5,0.114833,0.027942,52.716152,4.193891,0.0,1e-05,7671.0,107
130,2789376,109.0,-5.8697,0.3247,26.6,0.109936,0.025584,52.721442,1.231265,0.0,1e-05,7620.0,107
140,2850816,117.1,-5.7739,0.329,25.6,0.117969,0.02137,52.726333,1.261415,0.0,1e-05,7523.0,107
150,2912256,125.2,-5.6799,0.3016,24.7,0.1037,0.019104,52.730806,1.159775,0.0,1e-05,7601.0,107
160,2973696,133.9,-5.6758,0.4059,25.2,0.119942,0.020979,52.735059,1.352331,0.0,1e-05,7078.0,107
170,3035136,142.0,-5.5821,0.2896,24.1,0.109357,0.021973,52.739549,1.125449,0.0,1e-05,7582.0,107
180,3096576,150.1,-5.5619,0.3102,24.2,0.116492,0.017432,52.74474,1.060228,0.0,1e-05,7556.0,107
190,3158016,158.2,-5.504,0.3001,24.0,0.111821,0.017258,52.749022,1.041097,0.0,1e-05,7583.0,107
200,3219456,166.4,-5.4522,0.3016,23.8,0.130275,0.01583,52.753269,0.972179,0.0,1e-05,7547.0,107
210,3280896,175.1,-5.3418,0.3682,22.8,0.122262,0.015497,52.757483,1.0009,0.0,1e-05,7014.0,107
220,3342336,183.3,-5.2832,0.2728,22.5,0.127894,0.01378,52.761802,1.053036,0.0,1e-05,7545.0,107
230,3403776,191.4,-5.2127,0.254,21.9,0.142832,0.0133,52.765967,1.017975,0.0,1e-05,7548.0,107
240,3465216,199.6,-5.1637,0.2552,21.5,0.167593,0.012902,52.76965,1.130153,0.0,1e-05,7532.0,107
250,3526656,207.7,-5.1323,0.254,21.2,0.147927,0.013044,52.773631,1.032378,0.0,1e-05,7539.0,107
260,3588096,216.4,-5.0734,0.2814,20.6,0.14989,0.011179,52.777317,1.73011,0.0,1e-05,7077.0,107
270,3649536,224.5,-5.0504,0.2342,20.3,0.15923,0.011446,52.781449,1.181499,0.0,1e-05,7557.0,107
280,3710976,232.6,-5.0424,0.2439,20.3,0.159164,0.012074,52.785452,1.131449,0.0,1e-05,7623.0,107
290,3772416,240.8,-5.0267,0.2593,20.3,0.160147,0.011616,52.790031,1.093239,0.0,1e-05,7512.0,107
300,3833856,249.0,-5.0,0.2641,20.2,0.162233,0.010643,52.794189,1.126516,0.0,1e-05,7439.0,107
310,3895296,257.6,-4.9858,0.3088,20.4,0.180284,0.009398,52.79775,1.061373,0.0,1e-05,7164.0,107
320,3956736,265.7,-4.8745,0.1753,18.8,0.173485,0.008415,52.80111,1.10563,0.0,1e-05,7552.0,107
330,4018176,273.8,-4.8191,0.1242,18.3,0.182952,0.007595,52.805127,1.064797,0.0,1e-05,7596.0,107
340,4079616,281.8,-4.7926,0.1108,18.1,0.171203,0.006866,52.809975,0.981798,0.0,1e-05,7673.0,107
350,4141056,289.8,-4.7736,0.1072,17.9,0.189321,0.007864,52.814469,1.032453,0.0,1e-05,7674.0,107
360,4202496,297.9,-4.7943,0.1534,18.3,0.181374,0.008056,52.818662,0.903419,0.0,1e-05,7632.0,107
370,4263936,305.8,-4.7735,0.1088,17.7,0.184642,0.009041,52.823202,1.167988,0.0,1e-05,7810.0,107
380,4325376,313.6,-4.7784,0.1113,17.6,0.16437,0.009257,52.828002,1.0518,0.0,1e-05,7799.0,107
390,4386816,321.6,-4.7882,0.1129,17.5,0.19204,0.009606,52.831952,0.966854,0.0,1e-05,7724.0,107
400,4448256,329.6,-4.7949,0.113,17.5,0.187738,0.008752,52.836421,0.99319,0.0,1e-05,7692.0,107
410,4509696,337.6,-4.816,0.1628,17.9,0.183922,0.008824,52.840537,0.841501,0.0,1e-05,7655.0,107
420,4571136,345.6,-4.7953,0.1167,17.6,0.171891,0.007728,52.844,0.924935,0.0,1e-05,7721.0,107
430,4632576,353.6,-4.7963,0.1183,17.7,0.166944,0.007974,52.847528,1.009417,0.0,1e-05,7672.0,107
440,4694016,361.7,-4.7934,0.1247,17.7,0.164432,0.006866,52.851737,0.740121,0.0,1e-05,7533.0,107
450,4755456,369.8,-4.7789,0.1262,17.8,0.161668,0.006641,52.855638,0.839936,0.0,1e-05,7639.0,107
460,4816896,377.8,-4.7578,0.1715,17.5,0.161762,0.007257,52.859519,0.863975,0.0,1e-05,7629.0,107
470,4878336,385.8,-4.7667,0.1337,17.9,0.139304,0.006614,52.862565,0.73768,0.0,1e-05,7712.0,107
480,4939776,393.8,-4.7642,0.1348,17.9,0.171017,0.00684,52.866066,0.863104,0.0,1e-05,7681.0,107
490,5001216,401.8,-4.7551,0.142,17.9,0.162218,0.007455,52.869511,1.593816,0.0,1e-05,7680.0,107
500,5062656,409.8,-4.7543,0.1636,18.0,0.158283,0.008584,52.872497,0.852544,0.0,1e-05,7658.0,107
510,5124096,418.1,-4.775,0.1839,18.6,0.161743,0.008639,52.876167,0.88782,0.0,1e-05,7370.0,107
520,5185536,426.1,-4.7581,0.1652,18.1,0.130802,0.007754,52.879634,0.695242,0.0,1e-05,7727.0,107
530,5246976,434.1,-4.755,0.1545,18.1,0.159968,0.00837,52.883636,0.693674,0.0,1e-05,7681.0,107
540,5308416,442.1,-4.7655,0.1664,18.2,0.155845,0.00881,52.88731,0.753559,0.0,1e-05,7662.0,107
550,5369856,450.2,-4.7843,0.1704,18.4,0.144846,0.007861,52.890875,0.735151,0.0,1e-05,7630.0,107
560,5431296,458.5,-4.8284,0.2082,19.2,0.152009,0.007653,52.893941,0.718642,0.0,1e-05,7388.0,107
570,5492736,466.6,-4.8244,0.1607,18.7,0.127211,0.009083,52.897594,0.692332,0.0,1e-05,7614.0,107
580,5554176,474.6,-4.8419,0.1707,18.8,0.140382,0.007843,52.901539,0.67817,0.0,1e-05,7622.0,107
590,5615616,482.8,-4.8751,0.18,19.0,0.127082,0.009455,52.904418,0.645468,0.0,1e-05,7479.0,107
600,5677056,490.9,-4.9178,0.1906,19.3,0.137644,0.008791,52.907566,0.659239,0.0,1e-05,7601.0,107
610,5738496,499.4,-4.9938,0.2617,20.4,0.137081,0.013092,52.910602,0.697631,0.0,1e-05,7281.0,107
620,5799936,507.4,-5.0124,0.2307,20.0,0.148176,0.011392,52.914361,0.740378,0.0,1e-05,7602.0,107
630,5861376,515.5,-5.0913,0.2776,20.5,0.119983,0.01487,52.917901,0.709038,0.0,1e-05,7585.0,107
640,5922816,523.6,-5.125,0.2849,20.9,0.131372,0.015791,52.921677,0.742012,0.0,1e-05,7602.0,107
650,5984256,531.7,-5.1708,0.3017,21.4,0.148874,0.016759,52.925359,0.796442,0.0,1e-05,7570.0,107
660,6045696,540.5,-5.2102,0.3715,21.8,0.12888,0.018415,52.929255,0.809403,0.0,1e-05,7025.0,107
670,6107136,548.6,-5.2525,0.3256,22.1,0.148977,0.015548,52.932367,0.849078,0.0,1e-05,7577.0,107
680,6168576,556.7,-5.2822,0.3412,22.3,0.146105,0.019873,52.935173,0.903912,0.0,1e-05,7599.0,107
690,6230016,564.8,-5.2719,0.3219,22.2,0.16852,0.017474,52.938676,0.904759,0.0,1e-05,7606.0,107
