iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,12.4,-6.6104,0.6594,40.7,0.324304,0.222739,52.540289,3.353608,0.0,1e-05,9924.0,188
20,245760,23.3,-6.5741,0.7025,41.4,0.378921,0.180472,52.545015,3.449254,0.0,1e-05,11264.0,188
30,368640,34.6,-6.5529,0.7022,41.3,0.341851,0.15114,52.549796,3.474471,0.0,1e-05,10881.0,188
40,491520,45.5,-6.5401,0.7252,40.9,0.304664,0.124575,52.554338,3.409174,0.0,1e-05,11212.0,188
50,614400,56.5,-6.4918,0.7214,40.4,0.299032,0.113955,52.558146,3.396368,0.0,1e-05,11229.0,188
60,737280,68.7,-6.4161,0.8096,39.3,0.316614,0.10594,52.563173,3.308797,0.0,1e-05,10085.0,188
70,860160,79.7,-6.3536,0.7015,38.5,0.304507,0.091878,52.567888,3.300492,0.0,1e-05,11109.0,188
80,983040,90.6,-6.2542,0.6898,37.2,0.290113,0.082011,52.572571,3.33851,0.0,1e-05,11274.0,188
90,1105920,101.5,-6.0816,0.6615,34.9,0.293946,0.072356,52.577839,3.174395,0.0,1e-05,11347.0,188
100,1228800,112.5,-5.8601,0.6413,32.1,0.256322,0.060221,52.582709,3.172875,0.0,1e-05,11108.0,188
110,1351680,124.6,-5.5226,0.5658,27.7,0.262946,0.049393,52.588067,3.230188,0.0,1e-05,10174.0,188
120,1474560,135.8,-5.3707,0.4356,26.1,0.254825,0.043859,52.592801,3.109737,0.0,1e-05,10926.0,188
130,1597440,147.0,-5.2342,0.3429,24.2,0.251767,0.039002,52.597847,3.026809,0.0,1e-05,10973.0,188
140,1720320,158.2,-5.1829,0.312,23.4,0.253707,0.03657,52.602322,2.978401,0.0,1e-05,10987.0,188
150,1843200,169.4,-5.1378,0.2823,22.6,0.231354,0.03367,52.607527,2.840832,0.0,1e-05,11014.0,188
160,1966080,181.4,-5.0967,0.3183,21.5,0.215466,0.031466,52.612704,2.592153,0.0,1e-05,10219.0,188
10,2052096,10.0,-5.127,0.3272,21.2,0.195608,0.02651,52.63726,2.164829,0.0,1e-05,6117.0,106
20,2113536,18.3,-5.1131,0.3174,20.9,0.203629,0.027991,52.641381,1.988106,0.0,1e-05,7455.0,106
30,2174976,26.4,-5.1139,0.2995,20.7,0.20447,0.019961,52.645689,2.006329,0.0,1e-05,7574.0,106
40,2236416,34.5,-5.1105,0.3037,20.5,0.208363,0.021439,52.649804,1.985409,0.0,1e-05,7544.0,106
50,2297856,42.7,-5.1118,0.3029,20.5,0.192951,0.023624,52.653603,1.848731,0.0,1e-05,7525.0,106
60,2359296,51.9,-5.0731,0.3371,20.0,0.199251,0.021949,52.657607,1.824432,0.0,1e-05,6702.0,106
70,2420736,60.3,-5.0723,0.3217,20.1,0.182133,0.021574,52.661486,1.745112,0.0,1e-05,7308.0,106
80,2482176,68.7,-5.0171,0.2918,19.7,0.182992,0.019655,52.666624,1.710975,0.0,1e-05,7338.0,106
90,2543616,77.3,-5.0176,0.2927,19.6,0.196268,0.019082,52.670836,1.767627,0.0,1e-05,7094.0,106
100,2605056,85.5,-5.0088,0.2792,19.5,0.167597,0.021194,52.675035,1.763246,0.0,1e-05,7509.0,106
110,2666496,94.1,-4.9977,0.3052,19.1,0.183247,0.017867,52.679328,1.643832,0.0,1e-05,7113.0,106
120,2727936,102.2,-4.9931,0.2562,19.2,0.179896,0.014278,52.683475,1.636359,0.0,1e-05,7645.0,106
130,2789376,110.2,-4.9869,0.2487,19.0,0.195893,0.014462,52.687699,1.591652,0.0,1e-05,7642.0,106
140,2850816,118.3,-4.9812,0.2324,19.0,0.211253,0.01494,52.69214,1.714761,0.0,1e-05,7557.0,106
150,2912256,126.3,-4.9703,0.2399,18.9,0.187906,0.014358,52.696315,1.635177,0.0,1e-05,7678.0,106
160,2973696,134.8,-4.9887,0.2711,19.2,0.170302,0.015553,52.700187,1.402726,0.0,1e-05,7293.0,106
170,3035136,142.8,-4.9802,0.2299,18.9,0.175357,0.018631,52.704536,1.50628,0.0,1e-05,7681.0,106
180,3096576,150.8,-4.9989,0.2345,18.9,0.188253,0.015692,52.709549,1.538923,0.0,1e-05,7686.0,106
190,3158016,158.8,-5.0125,0.2372,19.0,0.312048,0.01687,52.713807,1.456995,0.0,1e-05,7603.0,106
200,3219456,167.0,-5.0324,0.2514,18.9,0.16974,0.018464,52.717186,1.372074,0.0,1e-05,7483.0,106
210,3280896,175.4,-5.024,0.28,18.7,0.160937,0.016555,52.721597,1.204827,0.0,1e-05,7369.0,106
220,3342336,183.7,-5.052,0.2408,19.1,0.157489,0.015655,52.726404,1.335934,0.0,1e-05,7421.0,106
230,3403776,191.8,-5.0777,0.2519,19.3,0.154479,0.016278,52.730531,1.223285,0.0,1e-05,7551.0,106
