iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,12.3,-6.5878,0.647,39.1,0.39645,0.16953,52.538536,2.427608,6.921472,1e-05,9993.0,189
20,245760,23.2,-6.5523,0.6098,38.9,0.36853,0.151441,52.54358,2.270071,6.715413,1e-05,11231.0,189
30,368640,34.4,-6.4807,0.615,37.7,0.306305,0.118237,52.548807,2.146517,6.241688,1e-05,10997.0,189
40,491520,45.6,-6.3944,0.6547,36.5,0.294164,0.099829,52.553495,2.09677,6.030982,1e-05,10999.0,189
50,614400,56.4,-6.1158,0.7069,33.0,0.300904,0.076371,52.558402,2.155581,5.87591,1e-05,11384.0,189
60,737280,68.4,-5.5736,0.6937,26.9,0.264345,0.059499,52.562467,2.246384,5.664202,1e-05,10256.0,189
70,860160,79.7,-5.2218,0.4579,23.3,0.276771,0.039102,52.566691,2.278011,5.57543,1e-05,10826.0,189
80,983040,91.1,-5.0297,0.2586,21.0,0.267447,0.029503,52.57086,2.073762,5.313194,1e-05,10812.0,189
90,1105920,102.4,-5.0195,0.2253,20.5,0.233038,0.027923,52.575434,1.806226,5.330464,1e-05,10826.0,189
100,1228800,113.8,-5.0592,0.2485,20.4,0.216824,0.027195,52.579902,1.642555,5.365976,1e-05,10824.0,189
110,1351680,125.7,-5.0955,0.3496,20.2,0.221601,0.027971,52.584262,1.742847,5.499623,1e-05,10313.0,189
120,1474560,137.0,-5.2127,0.3805,21.2,0.192815,0.033803,52.588383,1.377887,5.275118,1e-05,10876.0,189
130,1597440,148.4,-5.2805,0.4198,21.5,0.170416,0.030594,52.593061,1.301348,5.040136,1e-05,10769.0,189
140,1720320,159.8,-5.3333,0.4953,21.7,0.290968,0.035122,52.597969,1.326157,5.08102,1e-05,10761.0,189
150,1843200,171.1,-5.4187,0.5487,22.4,0.172926,0.036746,52.602092,1.117724,4.959834,1e-05,10917.0,189
160,1966080,182.9,-5.4496,0.6138,22.4,0.226873,0.037469,52.606205,1.087439,4.953674,1e-05,10364.0,189
10,2052096,10.1,-5.4747,0.6021,22.3,0.119141,0.031425,52.629738,1.065535,4.691572,1e-05,6092.0,107
20,2113536,18.4,-5.5144,0.6221,22.3,2.801971,0.027768,52.633713,1.761424,4.479746,1e-05,7411.0,107
30,2174976,26.6,-5.4774,0.5762,21.5,0.097663,0.032581,52.637897,0.97261,4.594908,1e-05,7479.0,107
40,2236416,34.8,-5.5567,0.641,22.2,0.104104,0.035345,52.641978,0.962835,4.581022,1e-05,7485.0,107
50,2297856,43.0,-5.6135,0.6849,22.5,0.090849,0.036598,52.646477,0.991069,4.351607,1e-05,7477.0,107
60,2359296,51.8,-5.6368,0.7124,22.3,0.080073,0.036288,52.650544,0.972375,4.594654,1e-05,6981.0,107
70,2420736,60.2,-5.7939,0.8049,23.9,0.13831,0.04467,52.654096,0.874457,4.518149,1e-05,7303.0,107
80,2482176,68.5,-5.7764,0.8061,23.8,0.093327,0.042354,52.658124,0.906207,4.49262,1e-05,7467.0,107
90,2543616,76.7,-5.8559,0.8652,24.6,0.105637,0.049325,52.662499,0.852436,4.242725,1e-05,7457.0,107
100,2605056,85.0,-5.9682,0.9426,25.5,0.100452,0.050476,52.666731,0.767602,4.169742,1e-05,7446.0,107
110,2666496,94.0,-6.0166,0.9817,26.0,0.071678,0.057749,52.671253,0.759717,4.304823,1e-05,6827.0,107
120,2727936,102.2,-6.0013,0.9522,25.8,0.081827,0.054364,52.675619,0.757826,4.218414,1e-05,7491.0,107
130,2789376,110.4,-6.0032,0.9287,25.5,0.098339,0.056504,52.680532,0.830557,4.086795,1e-05,7464.0,107
140,2850816,118.8,-5.9663,0.9141,25.0,0.064478,0.050482,52.684805,0.867922,4.153695,1e-05,7308.0,107
150,2912256,127.0,-5.9927,0.8773,25.1,0.052092,0.057742,52.689417,0.916117,4.258857,1e-05,7442.0,107
160,2973696,135.9,-6.0303,0.9305,25.4,0.07847,0.05218,52.693642,0.940674,4.412194,1e-05,6936.0,107
170,3035136,144.1,-5.943,0.798,24.4,0.062531,0.049939,52.698151,0.999149,4.293413,1e-05,7466.0,107
180,3096576,152.4,-5.8961,0.7569,23.7,1.35466,0.04747,52.702443,1.455381,4.317635,1e-05,7434.0,107
190,3158016,160.6,-5.8346,0.6692,22.9,0.042035,0.03608,52.707571,1.129865,4.281145,1e-05,7449.0,107
200,3219456,168.9,-5.7568,0.5489,21.9,0.024317,0.033974,52.712923,1.17915,4.330597,1e-05,7435.0,107
210,3280896,177.7,-5.7447,0.574,21.7,0.024819,0.028794,52.717309,1.293425,3.857943,1e-05,7000.0,107
220,3342336,186.0,-5.6881,0.4643,20.9,0.023493,0.028036,52.721294,1.581568,3.865526,1e-05,7425.0,107
230,3403776,194.2,-5.6124,0.4032,20.1,0.023579,0.024237,52.726237,1.712112,3.918386,1e-05,7438.0,107
240,3465216,202.6,-5.5566,0.3548,19.5,0.017805,0.020131,52.731206,1.85382,3.807482,1e-05,7360.0,107
250,3526656,211.3,-5.4858,0.2885,19.1,0.01406,0.013891,52.736572,2.095935,3.804816,1e-05,7026.0,107
260,3588096,219.9,-5.4347,0.3295,19.1,0.013391,0.009533,52.742682,2.364848,3.931736,1e-05,7126.0,107
270,3649536,228.2,-5.2758,0.187,17.9,0.020386,0.009585,52.749376,2.292051,3.948919,1e-05,7469.0,107
280,3710976,236.4,-5.1903,0.1505,17.6,0.023533,0.00835,52.755276,2.398165,3.907308,1e-05,7491.0,107
290,3772416,244.6,-5.1377,0.1458,17.6,0.028604,0.010092,52.761734,2.579742,4.155646,1e-05,7471.0,107
300,3833856,252.7,-5.1156,0.1408,17.7,0.02669,0.010057,52.768177,2.652526,3.829567,1e-05,7529.0,107
310,3895296,261.1,-5.0842,0.2152,18.2,0.037974,0.00948,52.774341,2.304543,3.927903,1e-05,7359.0,107
320,3956736,269.2,-4.9658,0.118,17.3,0.037267,0.008266,52.780201,2.491021,3.966139,1e-05,7536.0,107
330,4018176,277.4,-4.9453,0.1074,17.2,0.042957,0.008696,52.786025,2.499477,3.913206,1e-05,7566.0,107
340,4079616,285.6,-4.9362,0.107,17.2,0.045738,0.008093,52.791736,2.526643,3.765253,1e-05,7479.0,107
350,4141056,293.8,-4.9274,0.1105,17.3,0.051262,0.008555,52.797165,2.271843,3.864156,1e-05,7492.0,107
360,4202496,302.1,-4.9342,0.1894,17.7,0.062722,0.008104,52.802017,1.977545,3.98585,1e-05,7355.0,107
370,4263936,310.4,-4.8932,0.1099,17.3,0.062373,0.007903,52.807223,1.906636,3.740369,1e-05,7426.0,107
380,4325376,318.5,-4.8612,0.1134,17.3,0.076931,0.006599,52.812929,1.642459,3.732987,1e-05,7587.0,107
390,4386816,326.8,-4.8233,0.1099,17.3,0.096877,0.007355,52.817049,1.767788,3.75496,1e-05,7441.0,107
400,4448256,335.0,-4.7863,0.1125,17.2,0.075213,0.007208,52.821628,1.862395,3.870771,1e-05,7424.0,107
410,4509696,343.4,-4.7733,0.1772,17.8,0.076925,0.007149,52.826027,2.069082,3.805468,1e-05,7374.0,107
420,4571136,351.4,-4.7223,0.106,17.1,0.082212,0.006375,52.830052,2.465621,3.851913,1e-05,7633.0,107
430,4632576,359.7,-4.7042,0.1078,17.1,0.138516,0.005941,52.83424,2.715688,3.90177,1e-05,7392.0,107
440,4694016,368.0,-4.6874,0.1007,17.1,0.089495,0.00535,52.838915,2.43427,3.729643,1e-05,7398.0,107
450,4755456,376.3,-4.6801,0.1016,17.1,0.090133,0.005108,52.843865,2.117491,3.977491,1e-05,7449.0,107
460,4816896,384.8,-4.6994,0.1276,17.5,0.114283,0.005013,52.848166,2.750483,3.921487,1e-05,7233.0,107
470,4878336,393.1,-4.6856,0.1019,17.1,0.070972,0.004578,52.85244,2.550231,3.814014,1e-05,7347.0,107
480,4939776,401.6,-4.6951,0.1037,17.1,0.072999,0.00474,52.856826,2.656285,3.824673,1e-05,7233.0,107
490,5001216,410.2,-4.6986,0.1011,17.1,0.072048,0.004568,52.862064,2.537202,3.850579,1e-05,7173.0,107
500,5062656,418.9,-4.7134,0.105,17.1,0.057188,0.004553,52.867743,2.336451,3.736824,1e-05,7091.0,107
510,5124096,427.4,-4.7407,0.1394,17.6,0.043731,0.004588,52.874329,2.390042,3.561581,1e-05,7180.0,107
520,5185536,435.9,-4.7303,0.1086,17.1,0.058965,0.004585,52.881172,2.567641,3.653391,1e-05,7254.0,107
530,5246976,444.6,-4.7422,0.1058,17.1,0.044559,0.004255,52.88758,2.624866,3.590955,1e-05,7021.0,107
540,5308416,453.3,-4.7576,0.1091,17.1,0.032055,0.004678,52.893935,2.447026,3.785486,1e-05,7064.0,107
550,5369856,462.1,-4.7724,0.113,17.1,0.029777,0.004508,52.900045,2.211699,3.814122,1e-05,7028.0,107
560,5431296,470.7,-4.8117,0.1512,17.5,0.024771,0.005015,52.906384,2.513339,3.725075,1e-05,7136.0,107
570,5492736,479.3,-4.8008,0.1167,17.0,0.016059,0.005349,52.9125,2.365881,3.47402,1e-05,7165.0,107
580,5554176,487.9,-4.8143,0.118,17.0,0.020038,0.004561,52.918842,2.003252,3.698785,1e-05,7114.0,107
590,5615616,496.6,-4.8359,0.1249,17.0,0.021404,0.005143,52.925634,1.710485,3.672408,1e-05,7103.0,107
600,5677056,505.8,-4.8569,0.1296,17.0,0.013508,0.005158,52.931499,1.60474,3.858404,1e-05,6632.0,107
610,5738496,514.9,-4.9099,0.1926,17.7,0.01363,0.005541,52.937449,2.313978,3.715544,1e-05,6743.0,107
620,5799936,523.6,-4.8981,0.1332,17.0,0.012175,0.006205,52.944642,2.085313,3.824192,1e-05,7097.0,107
630,5861376,532.2,-4.9104,0.1458,17.0,0.041152,0.006006,52.951127,1.665611,3.785523,1e-05,7122.0,107
640,5922816,541.0,-4.9228,0.1463,17.0,0.02412,0.00635,52.956689,1.501954,3.653336,1e-05,7006.0,107
650,5984256,550.0,-4.9349,0.1611,17.0,0.016323,0.005913,52.96207,1.342879,3.649475,1e-05,6851.0,107
660,6045696,558.5,-4.9713,0.2132,17.7,0.006886,0.00676,52.966488,1.831479,3.542226,1e-05,7194.0,107
670,6107136,566.8,-4.9446,0.1673,17.1,0.020494,0.007212,52.971113,1.749521,3.620744,1e-05,7418.0,107
680,6168576,575.0,-4.9408,0.1757,17.1,0.045019,0.007508,52.975482,1.68169,3.623368,1e-05,7496.0,107
690,6230016,583.3,-4.9258,0.195,17.2,0.061902,0.008781,52.980326,1.754827,3.629623,1e-05,7426.0,107
700,6291456,591.4,-4.9152,0.2297,17.2,0.03092,0.008845,52.985006,1.531872,3.803868,1e-05,7541.0,107
710,6352896,599.7,-4.9225,0.2488,17.8,0.038964,0.008503,52.989266,1.312359,3.833961,1e-05,7397.0,107
720,6414336,607.8,-4.8884,0.2046,17.2,0.050209,0.006954,52.992998,1.275764,3.716897,1e-05,7569.0,107
730,6475776,616.0,-4.8732,0.1823,17.2,0.082202,0.008314,52.996995,1.40937,3.739861,1e-05,7540.0,107
740,6537216,624.2,-4.8641,0.1611,17.2,0.071864,0.007922,53.00101,1.364166,3.618684,1e-05,7505.0,107
750,6598656,632.3,-4.8554,0.1466,17.2,0.071885,0.008193,53.004422,1.359835,3.619895,1e-05,7513.0,107
760,6660096,640.6,-4.8852,0.1932,17.7,0.057908,0.007052,53.007575,1.262167,3.645057,1e-05,7437.0,107
770,6721536,648.7,-4.8641,0.1578,17.2,0.175946,0.007995,53.010662,1.289683,3.59666,1e-05,7626.0,107
