iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,12.6,-6.1941,0.5462,35.9,0.316927,0.210123,52.538613,2.572524,0.0,1e-05,9778.0,189
20,245760,23.6,-6.167,0.5192,35.9,0.331447,0.165856,52.544195,2.789318,0.0,1e-05,11166.0,189
30,368640,34.6,-6.1302,0.4967,35.4,0.328954,0.126412,52.549928,2.61889,0.0,1e-05,11124.0,189
40,491520,45.7,-6.1215,0.4739,35.4,0.325029,0.100862,52.555364,2.776322,0.0,1e-05,11135.0,189
50,614400,56.7,-6.1366,0.4723,35.6,0.296288,0.097926,52.559681,2.529017,0.0,1e-05,11168.0,189
60,737280,69.0,-6.0793,0.5733,34.4,0.301093,0.090091,52.564891,2.449591,0.0,1e-05,9941.0,189
70,860160,80.0,-6.1519,0.4785,35.9,0.309137,0.078287,52.57076,2.396346,0.0,1e-05,11165.0,189
80,983040,91.0,-6.1711,0.4822,36.2,0.295066,0.075166,52.57582,2.335948,0.0,1e-05,11165.0,189
90,1105920,102.0,-6.2038,0.4866,36.9,0.316815,0.070265,52.581239,2.30066,0.0,1e-05,11212.0,189
100,1228800,113.0,-6.2246,0.4943,37.1,0.299627,0.064823,52.586086,2.317709,0.0,1e-05,11136.0,189
110,1351680,125.3,-6.1533,0.6329,35.9,0.266648,0.061538,52.591146,2.174963,0.0,1e-05,10011.0,189
120,1474560,136.3,-6.3214,0.5016,38.5,0.269732,0.059327,52.597113,2.121276,0.0,1e-05,11175.0,189
130,1597440,147.4,-6.3428,0.508,38.6,0.25896,0.055534,52.601487,2.019508,0.0,1e-05,11033.0,189
140,1720320,158.8,-6.3394,0.4993,38.3,0.277358,0.051861,52.60685,2.03229,0.0,1e-05,10836.0,189
150,1843200,169.8,-6.3045,0.4809,37.7,0.28687,0.049058,52.612059,1.991404,0.0,1e-05,11116.0,189
160,1966080,182.2,-6.2199,0.6089,36.1,0.247778,0.047089,52.617084,2.008408,0.0,1e-05,9948.0,189
10,2052096,9.7,-6.1234,0.4502,34.2,0.23338,0.033527,52.643721,1.788349,0.0,1e-05,6318.0,106
20,2113536,17.6,-6.0117,0.4523,33.0,0.216014,0.030945,52.647863,1.708258,0.0,1e-05,7757.0,106
30,2174976,25.6,-5.9515,0.439,32.3,0.216559,0.028344,52.652065,1.791956,0.0,1e-05,7729.0,106
40,2236416,33.5,-5.8857,0.4408,31.4,0.271135,0.028495,52.65659,1.794732,0.0,1e-05,7734.0,106
50,2297856,41.5,-5.8468,0.431,30.7,0.210401,0.02353,52.660061,1.650825,0.0,1e-05,7749.0,106
60,2359296,50.2,-5.7876,0.5401,29.9,0.202883,0.021973,52.664762,1.623267,0.0,1e-05,7058.0,106
70,2420736,58.3,-5.768,0.4054,29.5,0.219651,0.021719,52.669257,1.591088,0.0,1e-05,7551.0,106
80,2482176,66.3,-5.766,0.4116,29.1,0.194782,0.020931,52.674219,1.592153,0.0,1e-05,7721.0,106
90,2543616,74.2,-5.709,0.3708,28.4,0.204304,0.01799,52.678052,1.572522,0.0,1e-05,7717.0,106
100,2605056,82.2,-5.6809,0.3686,28.2,0.217001,0.017558,52.682222,1.37695,0.0,1e-05,7708.0,106
110,2666496,91.0,-5.6385,0.4667,27.7,0.270416,0.015782,52.68643,2.324817,0.0,1e-05,6998.0,106
120,2727936,98.9,-5.6752,0.346,28.2,0.194676,0.015742,52.690615,1.31294,0.0,1e-05,7724.0,106
130,2789376,106.9,-5.7199,0.3676,28.8,0.173796,0.014863,52.695351,1.277683,0.0,1e-05,7730.0,106
140,2850816,115.0,-5.7316,0.3695,29.0,0.167817,0.015389,52.699431,1.174596,0.0,1e-05,7573.0,106
150,2912256,122.9,-5.7616,0.3788,29.2,0.16417,0.014782,52.703674,1.130131,0.0,1e-05,7730.0,106
160,2973696,131.7,-5.7413,0.4971,29.4,0.178765,0.013817,52.708196,1.106524,0.0,1e-05,7037.0,106
170,3035136,139.6,-5.7554,0.3435,29.5,0.153708,0.015657,52.712457,1.108871,0.0,1e-05,7732.0,106
180,3096576,147.5,-5.7808,0.3531,29.6,0.261962,0.013973,52.716906,1.05982,0.0,1e-05,7765.0,106
190,3158016,155.5,-5.7936,0.3319,29.3,0.211724,0.01479,52.72113,1.056356,0.0,1e-05,7737.0,106
200,3219456,163.4,-5.845,0.3624,29.8,0.171832,0.013327,52.72493,1.009768,0.0,1e-05,7767.0,106
210,3280896,172.2,-5.831,0.4782,29.7,0.15955,0.014667,52.728978,0.921253,0.0,1e-05,6935.0,106
220,3342336,180.2,-5.8472,0.3163,29.7,0.151217,0.013298,52.732728,0.981272,0.0,1e-05,7746.0,106
230,3403776,188.1,-5.8742,0.3301,30.1,0.23132,0.014167,52.736888,1.048439,0.0,1e-05,7757.0,106
240,3465216,196.0,-5.8697,0.3144,29.9,0.139657,0.015929,52.740608,1.048464,0.0,1e-05,7783.0,106
250,3526656,203.9,-5.9047,0.3412,29.8,0.140165,0.016603,52.745227,1.006214,0.0,1e-05,7742.0,106
260,3588096,212.6,-5.9548,0.4848,30.3,0.132264,0.014882,52.749424,0.833924,0.0,1e-05,7083.0,106
270,3649536,220.6,-5.9666,0.3285,30.3,0.147808,0.014196,52.753297,1.07156,0.0,1e-05,7723.0,106
280,3710976,228.5,-5.9985,0.3349,30.4,0.137899,0.01572,52.757706,1.008517,0.0,1e-05,7765.0,106
290,3772416,236.5,-5.9873,0.3499,30.3,0.138231,0.015961,52.761153,0.964766,0.0,1e-05,7618.0,106
300,3833856,244.5,-6.0131,0.3619,30.3,0.133705,0.016529,52.765121,0.849963,0.0,1e-05,7739.0,106
310,3895296,253.3,-5.9687,0.5212,29.5,0.127902,0.015131,52.769202,0.807794,0.0,1e-05,6995.0,106
320,3956736,261.2,-6.0342,0.4085,30.6,0.13537,0.016195,52.773731,0.898964,0.0,1e-05,7713.0,106
330,4018176,269.2,-6.0543,0.4475,30.4,0.121296,0.017905,52.777872,0.876838,0.0,1e-05,7711.0,106
340,4079616,277.1,-6.0765,0.4331,30.4,0.125291,0.017971,52.78172,0.828162,0.0,1e-05,7728.0,106
350,4141056,285.3,-6.1033,0.4963,30.7,0.114044,0.022146,52.785737,0.771992,0.0,1e-05,7545.0,106
360,4202496,294.0,-6.0807,0.6282,30.3,0.113504,0.017151,52.790061,0.652553,0.0,1e-05,7074.0,106
370,4263936,301.9,-6.1626,0.5677,31.4,0.105681,0.020182,52.794284,0.73869,0.0,1e-05,7707.0,106
380,4325376,310.0,-6.1512,0.5669,31.5,0.113776,0.020873,52.798478,0.671803,0.0,1e-05,7640.0,106
390,4386816,318.0,-6.1616,0.5635,31.2,0.097148,0.020578,52.80217,0.624452,0.0,1e-05,7692.0,106
400,4448256,326.0,-6.1615,0.5609,31.1,0.082691,0.020261,52.806173,0.641407,0.0,1e-05,7685.0,106
410,4509696,334.7,-6.1912,0.7193,31.5,0.125909,0.021889,52.809938,0.662645,0.0,1e-05,7010.0,106
