iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,12.8,-6.5661,0.6633,38.5,0.389717,0.187695,52.537472,2.560389,3.680978,1e-05,9596.0,189
20,245760,23.5,-6.5081,0.6688,37.7,0.4313,0.169996,52.542347,2.591997,3.528106,1e-05,11449.0,189
30,368640,34.2,-6.4355,0.7415,36.7,0.353415,0.138774,52.546452,2.54179,3.339007,1e-05,11479.0,189
40,491520,45.0,-6.1683,0.7598,33.5,0.37267,0.113539,52.550483,2.556895,3.160129,1e-05,11381.0,189
50,614400,55.8,-5.8322,0.7559,29.7,0.506333,0.081618,52.554428,2.996938,3.085283,1e-05,11423.0,189
60,737280,67.3,-5.37,0.6387,25.0,0.389979,0.057899,52.558326,2.98318,2.984127,1e-05,10717.0,189
70,860160,78.1,-5.0786,0.3356,21.6,0.276553,0.042109,52.562421,2.782597,2.93587,1e-05,11371.0,189
80,983040,88.8,-5.0252,0.246,20.8,0.264547,0.039369,52.567081,2.572809,2.79823,1e-05,11478.0,189
90,1105920,102.1,-5.0335,0.2367,20.6,0.260222,0.032355,52.571298,2.228545,2.744484,1e-05,9243.0,189
100,1228800,113.5,-5.0978,0.2781,20.9,0.259123,0.032051,52.575291,1.917627,2.704435,1e-05,10723.0,189
110,1351680,125.9,-5.1755,0.3607,21.4,0.217569,0.030885,52.579456,1.669429,2.561467,1e-05,9953.0,189
120,1474560,137.5,-5.2738,0.3808,21.9,0.224774,0.034597,52.583623,1.489893,2.619078,1e-05,10615.0,189
130,1597440,149.0,-5.3748,0.4772,22.7,0.210009,0.033213,52.587404,1.331651,2.526742,1e-05,10617.0,189
140,1720320,160.7,-5.4917,0.5311,23.7,0.173518,0.038882,52.59257,1.221106,2.515572,1e-05,10545.0,189
150,1843200,172.0,-5.5883,0.5948,24.5,0.23288,0.042256,52.596827,1.172732,2.483311,1e-05,10841.0,189
160,1966080,184.0,-5.5966,0.6262,23.9,0.169812,0.045035,52.601342,1.117929,2.39734,1e-05,10228.0,189
10,2113536,11.0,-5.7434,0.6349,24.8,0.126721,0.038339,52.627367,0.952722,2.232407,1e-05,11144.0,191
20,2236416,20.5,-5.7274,0.6082,24.0,0.116465,0.035887,52.632614,0.969209,2.221317,1e-05,13020.0,191
30,2359296,29.9,-5.7819,0.6427,24.1,0.112702,0.037646,52.637138,0.954509,2.203392,1e-05,13044.0,191
40,2482176,39.3,-5.8708,0.6803,24.2,0.165034,0.042177,52.642566,0.918125,2.155276,1e-05,12990.0,191
50,2605056,48.8,-5.8737,0.7005,24.0,0.087816,0.046359,52.647923,0.908972,2.103525,1e-05,12975.0,191
60,2727936,59.0,-5.9091,0.7476,23.9,0.082689,0.047294,52.65303,0.828383,2.102935,1e-05,12063.0,191
70,2850816,68.6,-5.9612,0.7435,24.4,0.081695,0.039552,52.658252,0.831968,2.111879,1e-05,12746.0,191
80,2973696,78.1,-6.0009,0.7256,24.8,0.088091,0.041321,52.663523,0.830226,2.12507,1e-05,12971.0,191
90,3096576,87.6,-6.0148,0.7108,24.9,0.085384,0.045851,52.66906,0.816292,2.081799,1e-05,12912.0,191
100,3219456,97.1,-6.1081,0.7547,25.5,0.174742,0.045388,52.673962,1.006109,2.039406,1e-05,12942.0,191
110,3342336,107.4,-6.1007,0.7631,25.1,0.073746,0.043908,52.678601,0.795807,2.043856,1e-05,11949.0,191
120,3465216,116.9,-6.1375,0.7178,25.5,0.068098,0.040957,52.684793,0.860267,1.998233,1e-05,12955.0,191
130,3588096,126.5,-6.159,0.7027,25.6,0.825006,0.042598,52.690407,1.047522,2.020552,1e-05,12747.0,191
140,3710976,136.1,-6.1982,0.6912,25.7,2.622727,0.042856,52.696049,1.772707,1.972852,1e-05,12841.0,191
150,3833856,145.7,-6.1855,0.6664,25.3,0.052697,0.043421,52.701102,0.861212,1.960857,1e-05,12851.0,191
160,3956736,156.0,-6.1243,0.7062,24.3,0.049591,0.038838,52.706791,1.032158,1.872224,1e-05,11890.0,191
170,4079616,165.6,-6.0329,0.6017,23.5,0.173209,0.034912,52.71301,1.163751,1.88085,1e-05,12809.0,191
180,4202496,175.2,-5.9085,0.5398,22.2,0.068129,0.034503,52.718617,1.319281,1.840606,1e-05,12836.0,191
190,4325376,184.9,-5.7358,0.4739,20.9,0.064685,0.024466,52.724097,1.392393,1.834962,1e-05,12684.0,191
200,4448256,194.5,-5.5704,0.3902,19.6,0.076025,0.017897,52.729763,1.586526,1.78148,1e-05,12718.0,191
