iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.8,-6.0447,0.4428,40.9,0.216038,2.842676,52.539178,0.486789,0.0,1e-05,11402.0,187
20,245760,20.0,-6.0584,0.47,41.2,0.222999,3.180304,52.544086,0.538912,0.0,1e-05,13361.0,187
30,368640,29.3,-6.0739,0.4548,41.2,0.226004,3.018418,52.549063,0.589949,0.0,1e-05,13223.0,187
40,491520,38.4,-6.0992,0.4792,41.6,0.221295,2.992532,52.55442,0.658954,0.0,1e-05,13435.0,187
50,614400,47.7,-6.1255,0.4869,42.0,0.225058,3.163442,52.559644,0.762992,0.0,1e-05,13191.0,187
60,737280,59.0,-6.0354,0.6849,40.4,0.227563,3.322618,52.564734,0.844409,0.0,1e-05,10920.0,187
70,860160,68.2,-6.1921,0.524,42.5,0.234091,3.565792,52.5692,0.99937,0.0,1e-05,13372.0,187
80,983040,77.4,-6.2175,0.5239,42.4,0.240623,3.712316,52.573575,1.096046,0.0,1e-05,13327.0,187
90,1105920,86.6,-6.2583,0.5347,42.8,0.241186,3.961814,52.577355,1.283213,0.0,1e-05,13401.0,187
100,1228800,96.0,-6.2991,0.5714,43.1,0.256122,4.347678,52.581316,1.503615,0.0,1e-05,13065.0,187
110,1351680,106.9,-6.1553,0.7522,40.3,0.274559,4.623815,52.585263,1.715174,0.0,1e-05,11267.0,187
120,1474560,116.1,-6.3846,0.6475,43.4,0.274924,5.22275,52.588501,1.980995,0.0,1e-05,13361.0,187
130,1597440,125.3,-6.3549,0.6413,42.2,0.268074,5.862082,52.592104,2.027071,0.0,1e-05,13314.0,187
140,1720320,134.3,-6.3674,0.6279,41.8,0.289468,6.52524,52.595479,2.479375,0.0,1e-05,13590.0,187
150,1843200,143.4,-6.3843,0.6804,41.6,0.314486,7.235389,52.598479,2.711372,0.0,1e-05,13496.0,187
160,1966080,154.6,-6.2103,0.8046,38.1,0.298652,7.942791,52.601207,2.875624,0.0,1e-05,11059.0,187
10,2113536,9.5,-6.188,0.7221,35.8,0.395883,17.880594,52.632025,4.669875,0.0,1e-05,12917.0,188
20,2236416,17.3,-6.1936,0.7646,34.6,0.374262,19.153154,52.638542,3.642302,0.0,1e-05,15853.0,188
30,2359296,25.0,-6.2012,0.7523,34.0,0.384296,17.402398,52.645616,3.612809,0.0,1e-05,15843.0,188
40,2482176,32.8,-6.2095,0.7706,33.8,0.407497,16.368372,52.652091,3.872076,0.0,1e-05,15887.0,188
50,2605056,40.6,-6.2376,0.7618,33.8,0.408166,15.635248,52.658985,3.915076,0.0,1e-05,15626.0,188
60,2727936,49.3,-6.166,0.8163,32.9,0.373956,13.864445,52.664989,3.914169,0.0,1e-05,14207.0,188
70,2850816,57.0,-6.2241,0.7325,33.5,0.339298,13.747112,52.669605,3.858521,0.0,1e-05,15920.0,188
80,2973696,64.7,-6.2396,0.7402,33.7,0.38452,12.358444,52.675736,5.147307,0.0,1e-05,15929.0,188
90,3096576,72.5,-6.2562,0.7663,33.9,0.37101,11.935474,52.681641,4.227641,0.0,1e-05,15810.0,188
100,3219456,80.2,-6.2226,0.7576,33.6,0.370941,11.709824,52.687152,4.229647,0.0,1e-05,15848.0,188
110,3342336,88.9,-6.1432,0.8705,32.8,0.362755,10.781312,52.691413,4.172632,0.0,1e-05,14227.0,188
120,3465216,96.6,-6.2383,0.7656,33.7,0.376924,11.08761,52.696488,4.591693,0.0,1e-05,15798.0,188
130,3588096,104.5,-6.2169,0.7132,33.3,0.38173,10.005263,52.701938,3.874968,0.0,1e-05,15564.0,188
140,3710976,112.3,-6.2389,0.7552,33.6,0.421269,9.49795,52.706939,4.760743,0.0,1e-05,15849.0,188
150,3833856,120.0,-6.2379,0.7537,33.7,0.360512,9.117816,52.711503,4.006595,0.0,1e-05,15845.0,188
160,3956736,128.7,-6.0966,0.8383,31.9,0.363309,9.013411,52.716704,4.431671,0.0,1e-05,14192.0,188
170,4079616,136.5,-6.2136,0.7406,33.3,0.482026,9.067064,52.721871,4.408812,0.0,1e-05,15854.0,188
180,4202496,144.2,-6.2216,0.7317,33.1,0.36251,8.597924,52.726151,4.236118,0.0,1e-05,15827.0,188
190,4325376,152.0,-6.2056,0.7146,33.0,0.371185,8.01504,52.730778,3.901611,0.0,1e-05,15866.0,188
200,4448256,159.8,-6.2028,0.7195,32.8,0.368789,7.672331,52.735604,3.851096,0.0,1e-05,15596.0,188
210,4571136,168.5,-6.102,0.8213,31.7,0.402003,7.904191,52.739669,3.963181,0.0,1e-05,14253.0,188
220,4694016,176.2,-6.2176,0.7286,33.0,0.426748,7.995931,52.744099,3.811823,0.0,1e-05,15800.0,188
230,4816896,184.0,-6.2012,0.7048,32.7,0.731106,7.592548,52.748436,4.242693,0.0,1e-05,15835.0,188
240,4939776,191.8,-6.2405,0.7272,33.3,0.362329,7.603737,52.752864,4.275249,0.0,1e-05,15805.0,188
250,5062656,199.6,-6.2307,0.7337,33.0,0.411685,7.704089,52.757479,3.915186,0.0,1e-05,15800.0,188
260,5185536,208.2,-6.1311,0.8173,31.7,0.377452,7.403702,52.762285,3.797412,0.0,1e-05,14213.0,188
270,5308416,216.0,-6.2436,0.716,33.0,0.373825,7.581803,52.767058,3.697732,0.0,1e-05,15818.0,188
280,5431296,223.9,-6.259,0.7276,33.3,0.36165,7.626023,52.772059,3.882007,0.0,1e-05,15573.0,188
290,5554176,231.6,-6.2554,0.7412,33.2,0.552091,7.403709,52.777152,4.231536,0.0,1e-05,15835.0,188
300,5677056,239.4,-6.2361,0.7249,32.8,0.404766,7.567503,52.781124,3.854771,0.0,1e-05,15862.0,188
310,5799936,248.1,-6.1981,0.8348,32.5,0.402857,6.895008,52.784419,3.924922,0.0,1e-05,14136.0,188
320,5922816,255.8,-6.2693,0.7132,33.0,0.394284,7.354158,52.789553,3.836111,0.0,1e-05,15831.0,188
330,6045696,263.6,-6.267,0.7261,32.9,0.445937,7.343747,52.794664,3.924774,0.0,1e-05,15849.0,188
340,6168576,271.3,-6.2927,0.7466,33.5,0.410405,7.209362,52.79916,3.880257,0.0,1e-05,15859.0,188
350,6291456,279.1,-6.2759,0.7263,33.2,0.379749,7.578904,52.803997,3.880286,0.0,1e-05,15791.0,188
360,6414336,288.0,-6.1618,0.8276,31.6,0.362763,7.429195,52.808214,4.149263,0.0,1e-05,13856.0,188
370,6537216,295.7,-6.3018,0.7356,33.4,0.403633,6.98495,52.812632,3.866096,0.0,1e-05,15825.0,188
380,6660096,303.5,-6.2912,0.7291,33.2,0.396315,7.178135,52.816176,3.991545,0.0,1e-05,15810.0,188
