iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.5,-12.7978,2.4312,31.2,-0.027094,9.845584,52.573266,0.02002,0.0,2.6337448559670777e-05,11747.0,53
20,245760,19.2,-12.7886,2.3876,31.4,-0.034615,4.229339,52.64317,0.01697,0.0,2.6337448559670777e-05,14062.0,53
30,368640,28.0,-12.6423,2.3141,31.2,-0.034276,2.843242,52.704709,0.01519,0.0,2.6337448559670777e-05,13982.0,53
40,491520,36.7,-12.6046,2.4375,31.3,-0.033696,2.158502,52.763623,0.015056,0.0,2.6337448559670777e-05,14024.0,53
50,614400,45.5,-12.3248,2.3092,30.7,-0.034932,1.760809,52.820151,0.015808,0.0,2.6337448559670777e-05,14010.0,53
60,737280,55.7,-11.8263,2.4525,29.0,-0.043485,1.394558,52.889641,0.01768,0.0,2.6337448559670777e-05,12087.0,53
70,860160,64.5,-11.8069,2.1676,29.3,-0.043918,1.155728,52.957178,0.017857,0.0,2.6337448559670777e-05,13912.0,53
80,983040,73.4,-11.4534,2.2953,28.2,-0.034521,1.01376,53.027468,0.015262,0.0,2.6337448559670777e-05,13806.0,53
90,1105920,82.3,-10.8508,2.0991,26.0,-0.042993,0.805668,53.088887,0.016993,0.0,2.6337448559670777e-05,13824.0,53
100,1228800,91.2,-10.0204,1.8056,23.0,-0.032568,0.655071,53.148509,0.0164,0.0,2.6337448559670777e-05,13746.0,53
110,1351680,101.1,-9.3745,1.6401,20.7,-0.041259,0.443359,53.208228,0.01713,0.0,2.6337448559670777e-05,12487.0,53
120,1474560,110.1,-8.9428,1.1196,19.3,-0.040035,0.36236,53.262331,0.017048,0.0,2.6337448559670777e-05,13680.0,53
130,1597440,119.0,-8.6829,0.9711,18.8,-0.040234,0.262312,53.320314,0.016869,0.0,2.6337448559670777e-05,13693.0,53
140,1720320,128.1,-8.4556,0.8882,18.5,-0.039008,0.245078,53.372245,0.017139,0.0,2.6337448559670777e-05,13644.0,53
150,1843200,137.0,-8.2615,0.8543,18.4,-0.040171,0.196121,53.424054,0.017066,0.0,2.6337448559670777e-05,13657.0,53
160,1966080,147.0,-8.0968,1.0287,18.3,-0.030915,0.158903,53.482292,0.015758,0.0,2.6337448559670777e-05,12297.0,53
10,2113536,9.0,-8.202,1.402,19.1,-0.008709,0.203938,53.568539,0.018707,0.0,5.925925925925925e-05,13697.0,54
20,2236416,16.5,-7.7044,0.679,17.8,-0.021488,0.140328,53.617744,0.01787,0.0,3.9506172839506166e-05,16251.0,54
30,2359296,24.2,-7.4775,0.5658,17.5,-0.01037,0.122683,53.667537,0.015472,0.0,3.9506172839506166e-05,16087.0,54
40,2482176,31.8,-7.2791,0.5433,17.4,-0.018672,0.096433,53.711238,0.016447,0.0,3.9506172839506166e-05,16097.0,54
50,2605056,39.5,-7.0844,0.4594,17.1,-0.019513,0.076653,53.760592,0.016403,0.0,3.9506172839506166e-05,15917.0,54
60,2727936,47.9,-6.9772,0.6947,17.1,-0.021664,0.0676,53.803695,0.016525,0.0,3.9506172839506166e-05,14664.0,54
70,2850816,55.7,-6.7906,0.4247,17.0,-0.019588,0.055095,53.836898,0.0152,0.0,3.9506172839506166e-05,15779.0,54
80,2973696,63.3,-6.6429,0.3832,16.8,-0.028714,0.045822,53.866071,0.018502,0.0,3.9506172839506166e-05,16060.0,54
90,3096576,71.1,-6.5073,0.3298,16.7,-0.018722,0.040421,53.903563,0.016239,0.0,3.9506172839506166e-05,15941.0,54
100,3219456,78.8,-6.3788,0.3026,16.7,-0.025933,0.037684,53.93945,0.016917,0.0,3.9506172839506166e-05,15872.0,54
110,3342336,87.2,-6.3276,0.5462,16.8,-0.026191,0.030335,53.983649,0.017033,0.0,3.9506172839506166e-05,14577.0,54
120,3465216,95.0,-6.1779,0.2742,16.6,-0.018556,0.02689,54.011381,0.01503,0.0,3.9506172839506166e-05,15777.0,54
130,3588096,102.7,-6.0834,0.2733,16.5,-0.027711,0.021121,54.029266,0.016241,0.0,3.9506172839506166e-05,15892.0,54
140,3710976,110.7,-5.9956,0.2447,16.5,-0.023909,0.018608,54.043815,0.017,0.0,3.9506172839506166e-05,15534.0,54
150,3833856,118.5,-5.9125,0.238,16.5,-0.024501,0.016123,54.067878,0.015778,0.0,3.9506172839506166e-05,15738.0,54
160,3956736,126.9,-5.8684,0.4052,16.5,-0.032214,0.014761,54.085548,0.016328,0.0,3.9506172839506166e-05,14524.0,54
170,4079616,134.7,-5.7666,0.2265,16.5,-0.024948,0.014646,54.082318,0.016503,0.0,3.9506172839506166e-05,15762.0,54
180,4202496,142.5,-5.6989,0.2068,16.5,-0.031405,0.010906,54.078654,0.015945,0.0,3.9506172839506166e-05,15720.0,54
190,4325376,150.3,-5.6386,0.2018,16.5,-0.029575,0.009797,54.076647,0.016672,0.0,3.9506172839506166e-05,15743.0,54
200,4448256,158.2,-5.5776,0.1881,16.5,-0.02115,0.009014,54.060903,0.015746,0.0,3.9506172839506166e-05,15547.0,54
210,4571136,166.7,-5.5603,0.3329,16.6,-0.030517,0.007596,54.052088,0.016251,0.0,3.9506172839506166e-05,14455.0,54
220,4694016,174.7,-5.4799,0.1679,16.5,-0.030081,0.006572,54.034203,0.015687,0.0,3.9506172839506166e-05,15455.0,54
230,4816896,182.5,-5.4361,0.1678,16.6,-0.027503,0.007065,54.024881,0.015422,0.0,3.9506172839506166e-05,15733.0,54
240,4939776,190.3,-5.3964,0.1886,16.7,-0.027954,0.00571,54.016616,0.015712,0.0,3.9506172839506166e-05,15675.0,54
250,5062656,198.2,-5.354,0.162,16.8,-0.028753,0.005778,53.991858,0.015571,0.0,3.9506172839506166e-05,15652.0,54
260,5185536,206.7,-5.3416,0.3052,16.8,-0.027377,0.005331,53.979123,0.014826,0.0,3.9506172839506166e-05,14396.0,54
270,5308416,214.6,-5.2838,0.153,16.9,-0.027469,0.004435,53.944816,0.014611,0.0,3.9506172839506166e-05,15676.0,54
280,5431296,222.5,-5.2519,0.1529,17.1,-0.027985,0.004941,53.907481,0.015583,0.0,3.9506172839506166e-05,15561.0,54
290,5554176,230.4,-5.2134,0.152,17.2,-0.027326,0.004117,53.880877,0.014572,0.0,3.9506172839506166e-05,15409.0,54
300,5677056,238.3,-5.1887,0.152,17.4,-0.028715,0.005017,53.8382,0.01511,0.0,3.9506172839506166e-05,15637.0,54
310,5799936,246.8,-5.1641,0.2805,17.3,-0.027457,0.004333,53.810163,0.014119,0.0,3.9506172839506166e-05,14445.0,54
320,5922816,254.7,-5.1266,0.1478,17.6,-0.027225,0.003554,53.771224,0.015005,0.0,3.9506172839506166e-05,15616.0,54
330,6045696,262.5,-5.107,0.1493,17.9,-0.025522,0.004047,53.727337,0.013827,0.0,3.9506172839506166e-05,15675.0,54
340,6168576,270.4,-5.0815,0.1447,18.2,-0.0252,0.003693,53.692373,0.012282,0.0,3.9506172839506166e-05,15674.0,54
350,6291456,278.2,-5.0624,0.1514,18.5,-0.02593,0.003406,53.662395,0.01296,0.0,3.9506172839506166e-05,15685.0,54
360,6414336,286.7,-5.0524,0.2909,18.5,-0.025633,0.003699,53.645233,0.01411,0.0,3.9506172839506166e-05,14362.0,54
370,6537216,294.7,-5.0244,0.1491,18.9,-0.027528,0.003376,53.607805,0.013376,0.0,3.9506172839506166e-05,15450.0,54
380,6660096,302.5,-5.0015,0.1525,19.0,-0.024256,0.003434,53.578487,0.012336,0.0,3.9506172839506166e-05,15694.0,54
390,6782976,310.3,-4.9853,0.1637,19.3,-0.025892,0.003233,53.543052,0.013261,0.0,3.9506172839506166e-05,15831.0,54
400,6905856,318.1,-4.9651,0.1635,19.3,-0.0254,0.003562,53.502547,0.013286,0.0,3.9506172839506166e-05,15770.0,54
410,7028736,326.6,-4.9675,0.3041,19.3,-0.023965,0.003633,53.497795,0.012309,0.0,3.9506172839506166e-05,14493.0,54
