iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,12.0,-6.6104,0.6594,40.7,0.324304,0.222739,52.540289,3.353608,0.0,1e-05,10221.0,188
20,245760,22.5,-6.5741,0.7025,41.4,0.378921,0.180472,52.545015,3.449254,0.0,1e-05,11742.0,188
30,368640,32.7,-6.5529,0.7022,41.3,0.341851,0.15114,52.549796,3.474471,0.0,1e-05,12045.0,188
40,491520,42.8,-6.5401,0.7252,40.9,0.304664,0.124575,52.554338,3.409174,0.0,1e-05,12095.0,188
50,614400,53.0,-6.4918,0.7214,40.4,0.299032,0.113955,52.558146,3.396368,0.0,1e-05,12159.0,188
60,737280,64.2,-6.4161,0.8096,39.3,0.316614,0.10594,52.563173,3.308797,0.0,1e-05,10948.0,188
70,860160,74.3,-6.3536,0.7015,38.5,0.304507,0.091878,52.567888,3.300492,0.0,1e-05,12133.0,188
80,983040,84.4,-6.2542,0.6898,37.2,0.290113,0.082011,52.572571,3.33851,0.0,1e-05,12118.0,188
90,1105920,94.6,-6.0816,0.6615,34.9,0.293946,0.072356,52.577839,3.174395,0.0,1e-05,12092.0,188
100,1228800,104.9,-5.8601,0.6413,32.1,0.256322,0.060221,52.582709,3.172875,0.0,1e-05,11945.0,188
110,1351680,116.2,-5.5226,0.5658,27.7,0.262946,0.049393,52.588067,3.230188,0.0,1e-05,10881.0,188
120,1474560,126.6,-5.3707,0.4356,26.1,0.254825,0.043859,52.592801,3.109737,0.0,1e-05,11817.0,188
130,1597440,136.9,-5.2342,0.3429,24.2,0.251767,0.039002,52.597847,3.026809,0.0,1e-05,11888.0,188
140,1720320,147.2,-5.1829,0.312,23.4,0.253707,0.03657,52.602322,2.978401,0.0,1e-05,11971.0,188
150,1843200,157.7,-5.1378,0.2823,22.6,0.231354,0.03367,52.607527,2.840832,0.0,1e-05,11649.0,188
160,1966080,169.1,-5.0967,0.3183,21.5,0.215466,0.031466,52.612704,2.592153,0.0,1e-05,10820.0,188
10,2113536,10.6,-5.0798,0.2885,20.7,0.198679,0.022766,52.640751,2.154409,0.0,1e-05,11615.0,189
20,2236416,19.9,-5.0431,0.2766,20.2,0.208333,0.022157,52.645769,2.186318,0.0,1e-05,13252.0,189
30,2359296,29.0,-5.0473,0.2789,20.2,0.214244,0.022378,52.65116,2.009684,0.0,1e-05,13395.0,189
40,2482176,38.2,-5.0209,0.2829,20.0,0.202941,0.02133,52.657414,1.925617,0.0,1e-05,13372.0,189
50,2605056,47.4,-5.0103,0.2789,19.8,0.223428,0.019137,52.662525,1.889551,0.0,1e-05,13326.0,189
60,2727936,57.2,-4.9811,0.2866,19.2,0.193342,0.020183,52.66783,1.872525,0.0,1e-05,12586.0,190
70,2850816,66.4,-4.9895,0.2631,19.4,0.189537,0.017508,52.673184,1.85718,0.0,1e-05,13340.0,190
80,2973696,75.7,-4.9822,0.2439,19.3,0.191685,0.01632,52.678986,1.763451,0.0,1e-05,13212.0,190
