iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,9.3,-6.5854,0.7799,36.5,0.302209,0.257706,52.545592,3.776046,0.0,1e-05,13176.0,100
20,245760,17.3,-6.6126,0.7062,36.6,0.290644,0.182213,52.551392,3.653746,0.0,1e-05,15428.0,100
30,368640,25.3,-6.6069,0.6878,36.4,0.253768,0.128798,52.55668,3.832092,0.0,1e-05,15403.0,100
40,491520,33.4,-6.5822,0.6669,36.4,0.259247,0.111156,52.5621,3.544002,0.0,1e-05,15162.0,100
50,614400,41.4,-6.6095,0.6758,36.7,0.279086,0.088186,52.567072,3.535304,0.0,1e-05,15271.0,100
60,737280,50.3,-6.521,0.7975,35.4,0.254277,0.080913,52.572555,3.26977,0.0,1e-05,13807.0,100
70,860160,58.3,-6.5413,0.6721,36.5,0.258575,0.070133,52.577804,3.198791,0.0,1e-05,15351.0,100
80,983040,66.4,-6.5848,0.6847,37.1,0.228481,0.062502,52.583661,3.147595,0.0,1e-05,15196.0,100
90,1105920,74.5,-6.5705,0.6501,36.9,0.251179,0.062479,52.589539,3.130817,0.0,1e-05,15246.0,100
100,1228800,82.5,-6.5704,0.6751,37.0,0.24979,0.061333,52.594263,2.936418,0.0,1e-05,15246.0,100
110,1351680,91.5,-6.5317,0.756,35.8,0.226005,0.056114,52.599223,2.884433,0.0,1e-05,13750.0,100
120,1474560,99.7,-6.4953,0.6541,35.6,0.200898,0.047425,52.604973,2.809463,0.0,1e-05,14990.0,100
130,1597440,107.7,-6.4282,0.6215,34.5,0.199131,0.050126,52.611977,2.852576,0.0,1e-05,15214.0,100
140,1720320,115.9,-6.3988,0.6376,33.9,0.20038,0.048842,52.618372,2.812398,0.0,1e-05,15112.0,100
150,1843200,124.0,-6.3471,0.6064,33.0,0.189393,0.045425,52.625012,2.640229,0.0,1e-05,15199.0,100
160,1966080,133.0,-6.3041,0.7083,32.2,0.180037,0.041149,52.63123,2.631346,0.0,1e-05,13578.0,100
170,2088960,141.1,-6.2685,0.5716,31.8,0.202709,0.040132,52.636868,2.575282,0.0,1e-05,15176.0,100
180,2211840,149.2,-6.1904,0.542,30.7,0.180498,0.040002,52.6423,2.634737,0.0,1e-05,15225.0,100
190,2334720,157.4,-6.1437,0.5134,30.0,0.190541,0.036819,52.647839,2.522555,0.0,1e-05,14946.0,100
200,2457600,165.5,-6.1043,0.5094,29.4,0.166478,0.035428,52.652867,2.542779,0.0,1e-05,15164.0,100
210,2580480,174.4,-6.0451,0.5618,28.7,0.174298,0.033365,52.659486,2.361384,0.0,1e-05,13859.0,100
220,2703360,182.5,-5.9941,0.4727,28.1,0.16076,0.02973,52.666456,2.387401,0.0,1e-05,15128.0,100
230,2826240,190.7,-5.9048,0.4604,27.1,0.163847,0.029184,52.67301,2.34665,0.0,1e-05,14966.0,100
240,2949120,198.9,-5.8761,0.4645,26.8,0.147853,0.030497,52.679706,2.301398,0.0,1e-05,14967.0,100
250,3072000,207.1,-5.8216,0.4221,26.1,0.149337,0.026485,52.686522,2.330357,0.0,1e-05,15054.0,100
260,3194880,216.0,-5.7173,0.4848,24.8,0.155379,0.024132,52.693576,2.263946,0.0,1e-05,13812.0,100
270,3317760,224.1,-5.6808,0.3916,24.7,0.150665,0.022349,52.70015,2.171316,0.0,1e-05,15092.0,100
280,3440640,232.3,-5.6589,0.3909,24.5,0.13786,0.019599,52.707532,2.074228,0.0,1e-05,15006.0,100
290,3563520,240.5,-5.6171,0.3468,24.0,0.14488,0.019745,52.714702,2.07382,0.0,1e-05,15067.0,100
300,3686400,248.7,-5.5779,0.3364,23.6,0.14113,0.017792,52.721184,1.996099,0.0,1e-05,14984.0,100
310,3809280,257.5,-5.5043,0.3968,22.6,0.151427,0.016731,52.728463,1.885939,0.0,1e-05,13957.0,100
320,3932160,265.6,-5.5612,0.3103,23.1,0.54833,0.017543,52.735484,1.968782,0.0,1e-05,15022.0,100
330,4055040,273.9,-5.5679,0.2991,22.9,0.134458,0.017785,52.741524,1.748782,0.0,1e-05,14794.0,100
340,4177920,282.2,-5.5694,0.2917,22.7,0.128093,0.01753,52.747837,1.681856,0.0,1e-05,14938.0,100
350,4300800,290.4,-5.6021,0.2846,22.7,0.124561,0.01717,52.754021,1.564352,0.0,1e-05,15001.0,100
360,4423680,299.0,-5.6196,0.3856,22.7,0.122048,0.017612,52.759772,1.425734,0.0,1e-05,14163.0,100
370,4546560,307.2,-5.6733,0.2708,22.9,0.127366,0.017589,52.765269,1.321376,0.0,1e-05,15003.0,100
380,4669440,315.4,-5.7054,0.2649,23.0,0.532054,0.01798,52.770371,1.555699,0.0,1e-05,14956.0,100
390,4792320,323.6,-5.7328,0.2723,23.2,0.110028,0.019183,52.775979,1.097634,0.0,1e-05,14988.0,100
400,4915200,332.0,-5.7461,0.2539,23.3,0.113851,0.017694,52.781684,0.934757,0.0,1e-05,14702.0,100
410,5038080,340.8,-5.7347,0.3737,23.1,0.153666,0.017569,52.786282,0.837974,0.0,1e-05,13979.0,100
