iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,7.8,-6.0782,0.4137,39.3,0.256489,2.875429,52.538397,0.60795,0.0,1e-05,15769.0,98
20,245760,14.3,-6.1123,0.4254,39.8,0.279152,2.822566,52.542475,0.662056,0.0,1e-05,18993.0,98
30,368640,20.7,-6.1226,0.4201,39.9,0.27379,2.981355,52.546251,0.689985,0.0,1e-05,18970.0,98
40,491520,27.2,-6.1404,0.4461,40.0,0.259371,2.869337,52.550541,0.711627,0.0,1e-05,18930.0,98
50,614400,33.7,-6.1532,0.4518,40.1,0.258949,3.043589,52.5545,0.767667,0.0,1e-05,19009.0,98
60,737280,41.9,-6.0304,0.6439,37.8,0.281425,3.036675,52.55794,0.827132,0.0,1e-05,15069.0,98
70,860160,48.4,-6.1943,0.4618,40.2,0.257297,3.003483,52.561005,0.899872,0.0,1e-05,18857.0,98
80,983040,54.9,-6.2137,0.4585,40.4,0.253524,3.149193,52.564581,0.951763,0.0,1e-05,18833.0,98
90,1105920,61.4,-6.2578,0.4974,40.7,0.252528,3.364717,52.567894,1.109829,0.0,1e-05,18857.0,98
100,1228800,67.9,-6.2956,0.5173,40.8,0.295932,3.605957,52.570778,1.202765,0.0,1e-05,18931.0,98
110,1351680,75.9,-6.1792,0.704,38.5,0.289229,3.951351,52.573612,1.327348,0.0,1e-05,15329.0,98
120,1474560,82.4,-6.3464,0.5214,40.3,0.277305,4.188456,52.576678,1.477093,0.0,1e-05,18868.0,98
130,1597440,88.9,-6.4086,0.5594,40.7,0.358723,4.864576,52.579762,1.63326,0.0,1e-05,18950.0,98
140,1720320,95.4,-6.4632,0.5961,40.8,0.340353,5.424563,52.582526,1.833687,0.0,1e-05,18909.0,98
150,1843200,101.9,-6.5587,0.6522,41.3,0.449078,6.051531,52.584378,2.200278,0.0,1e-05,18854.0,98
160,1966080,109.9,-6.4565,0.8502,38.8,0.389304,7.228578,52.587165,2.309912,0.0,1e-05,15385.0,98
170,2088960,116.4,-6.6159,0.6812,39.9,0.446529,8.220001,52.589263,2.671825,0.0,1e-05,18892.0,98
180,2211840,123.0,-6.6404,0.7033,38.8,0.397574,9.507772,52.591723,2.663003,0.0,1e-05,18805.0,98
190,2334720,129.6,-6.6082,0.7423,36.9,0.556142,11.111213,52.593239,3.161103,0.0,1e-05,18606.0,98
200,2457600,136.5,-6.5257,0.7157,34.4,0.479242,13.311678,52.595526,3.303126,0.0,1e-05,17666.0,98
210,2580480,144.6,-6.3643,0.7189,30.8,0.532403,15.257398,52.599027,3.583874,0.0,1e-05,15117.0,98
220,2703360,151.2,-6.304,0.6617,29.5,0.599225,17.880163,52.60187,3.531549,0.0,1e-05,18656.0,98
