iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,7.4,-15.1027,2.6668,32.3,0.009159,16.864082,52.539614,0.017051,0.0,5.925925925925925e-05,16603.0,36
20,245760,13.7,-15.1413,2.6947,32.8,-0.03402,10.409539,52.594487,0.017354,0.0,2.6337448559670777e-05,19471.0,36
30,368640,20.1,-15.0389,2.659,32.6,-0.033494,7.704387,52.644433,0.018048,0.0,2.6337448559670777e-05,19248.0,36
40,491520,26.4,-15.0249,2.6515,32.6,-0.032486,6.003712,52.700243,0.016914,0.0,2.6337448559670777e-05,19397.0,36
50,614400,33.0,-14.998,2.6406,32.7,-0.035527,4.816222,52.748293,0.017218,0.0,2.6337448559670777e-05,18775.0,36
60,737280,40.0,-14.5851,2.9988,31.8,-0.036024,3.657757,52.793182,0.016967,0.0,2.6337448559670777e-05,17430.0,36
70,860160,46.4,-14.8551,2.6289,32.8,-0.037551,3.078644,52.843762,0.016802,0.0,2.6337448559670777e-05,19200.0,36
80,983040,52.8,-14.6209,2.4525,32.4,-0.03671,2.531422,52.897377,0.01654,0.0,2.6337448559670777e-05,19323.0,36
90,1105920,59.2,-14.5634,2.4975,32.6,-0.036555,2.246463,52.944815,0.01708,0.0,2.6337448559670777e-05,19168.0,36
100,1228800,65.6,-14.5,2.5603,32.6,-0.037936,2.072203,52.995688,0.016625,0.0,2.6337448559670777e-05,19300.0,36
110,1351680,72.6,-13.976,2.8136,31.5,-0.03801,1.841133,53.042814,0.017118,0.0,2.6337448559670777e-05,17419.0,36
120,1474560,79.0,-14.1925,2.3783,32.4,-0.03899,1.709926,53.101693,0.015977,0.0,2.6337448559670777e-05,19285.0,36
130,1597440,85.5,-13.9952,2.2861,32.3,-0.036726,1.593137,53.155519,0.016582,0.0,2.6337448559670777e-05,18880.0,36
140,1720320,91.9,-13.9024,2.3487,32.0,-0.036457,1.488608,53.209624,0.015465,0.0,2.6337448559670777e-05,19259.0,36
150,1843200,98.3,-13.8377,2.4233,32.2,-0.035852,1.485549,53.26291,0.015437,0.0,2.6337448559670777e-05,19143.0,36
160,1966080,105.4,-13.4153,2.657,31.1,-0.038291,1.464116,53.315976,0.015967,0.0,2.6337448559670777e-05,17233.0,36
170,2088960,111.8,-13.5685,2.4236,31.9,-0.037585,1.4402,53.374119,0.015909,0.0,2.6337448559670777e-05,19191.0,36
180,2211840,118.2,-13.2841,2.3992,31.3,-0.037102,1.23219,53.429569,0.015664,0.0,2.6337448559670777e-05,19142.0,36
190,2334720,124.7,-13.1261,2.3768,31.1,-0.037608,1.254253,53.484141,0.015432,0.0,2.6337448559670777e-05,19139.0,36
200,2457600,131.1,-12.8886,2.3108,30.7,-0.046938,1.094376,53.544166,0.018005,0.0,2.6337448559670777e-05,19115.0,36
210,2580480,138.2,-12.4758,2.6178,29.5,-0.048736,1.075785,53.608987,0.017929,0.0,2.6337448559670777e-05,17296.0,36
220,2703360,144.8,-12.3849,2.3469,29.6,-0.04702,1.055259,53.670672,0.017968,0.0,2.6337448559670777e-05,18696.0,36
230,2826240,151.3,-12.0156,2.3247,28.6,-0.046445,0.961135,53.738784,0.017505,0.0,2.6337448559670777e-05,18940.0,36
240,2949120,157.8,-11.8231,2.2734,28.3,-0.046692,0.949206,53.808109,0.017525,0.0,2.6337448559670777e-05,18865.0,36
250,3072000,164.2,-11.6049,2.2829,27.7,-0.034146,0.91167,53.877991,0.01553,0.0,2.6337448559670777e-05,18990.0,36
260,3194880,171.3,-11.174,2.308,26.4,-0.036665,0.844923,53.938612,0.015334,0.0,2.6337448559670777e-05,17544.0,36
270,3317760,177.8,-11.03,2.2046,26.1,-0.045148,0.775066,53.999439,0.017662,0.0,2.6337448559670777e-05,18813.0,36
280,3440640,184.3,-10.7323,2.0902,25.4,-0.045814,0.737119,54.070105,0.017959,0.0,2.6337448559670777e-05,18739.0,36
290,3563520,190.9,-10.4493,2.0288,24.5,-0.046545,0.638381,54.133006,0.017049,0.0,2.6337448559670777e-05,18835.0,36
300,3686400,197.4,-10.1738,1.9246,23.8,-0.043769,0.589702,54.201429,0.01704,0.0,2.6337448559670777e-05,18724.0,36
310,3809280,204.7,-9.7909,1.968,22.5,-0.045876,0.558045,54.265882,0.017337,0.0,2.6337448559670777e-05,17004.0,36
320,3932160,211.2,-9.6115,1.6774,22.0,-0.045251,0.418379,54.338536,0.017001,0.0,2.6337448559670777e-05,18642.0,36
330,4055040,217.9,-9.3576,1.6155,21.4,-0.042463,0.431636,54.405119,0.017111,0.0,2.6337448559670777e-05,18576.0,36
