iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,9.1,-6.5344,0.6889,33.9,0.321651,0.191011,52.536375,4.037335,0.0,1e-05,13454.0,99
20,245760,17.0,-6.3866,0.7642,31.9,0.302846,0.15794,52.542032,3.954796,0.0,1e-05,15587.0,99
30,368640,24.9,-6.1869,0.7459,29.9,0.328118,0.116993,52.547394,4.382685,0.0,1e-05,15606.0,99
40,491520,32.7,-5.99,0.6843,27.8,0.256687,0.088596,52.552959,4.439033,0.0,1e-05,15664.0,99
50,614400,40.6,-5.7623,0.5581,25.3,0.256896,0.072896,52.559023,4.696826,0.0,1e-05,15560.0,99
60,737280,49.1,-5.5652,0.4671,22.9,0.242286,0.064605,52.565521,4.984102,0.0,1e-05,14432.0,99
70,860160,57.1,-5.4983,0.3227,22.1,0.23996,0.058797,52.571754,5.13664,0.0,1e-05,15487.0,99
80,983040,65.0,-5.4711,0.3035,21.6,0.231108,0.05166,52.578075,4.892153,0.0,1e-05,15429.0,99
90,1105920,73.1,-5.4164,0.2769,21.0,0.231812,0.045711,52.586199,4.960216,0.0,1e-05,15198.0,99
100,1228800,81.1,-5.3533,0.231,20.3,0.213673,0.039985,52.593972,4.741486,0.0,1e-05,15342.0,99
110,1351680,89.6,-5.3132,0.3002,20.0,0.213051,0.036726,52.600389,4.742562,0.0,1e-05,14554.0,99
120,1474560,97.6,-5.2942,0.209,19.8,0.215227,0.033172,52.607336,4.578052,0.0,1e-05,15374.0,99
130,1597440,105.6,-5.285,0.2101,19.6,0.209389,0.030996,52.61375,4.496821,0.0,1e-05,15330.0,99
140,1720320,113.6,-5.2677,0.1934,19.4,0.203558,0.026395,52.620407,4.251116,0.0,1e-05,15351.0,99
150,1843200,121.6,-5.2569,0.1828,19.2,0.195201,0.025465,52.628821,inf,0.0,1e-05,15357.0,99
160,1966080,130.1,-5.299,0.2602,19.7,0.156,0.020459,52.637212,3.692891,0.0,1e-05,14515.0,99
170,2088960,138.2,-5.2718,0.1856,19.1,0.171937,0.020182,52.645651,4.170365,0.0,1e-05,15149.0,99
180,2211840,146.2,-5.2998,0.1897,19.2,0.151508,0.020037,52.65368,3.819099,0.0,1e-05,15275.0,99
190,2334720,154.3,-5.3292,0.2096,19.4,0.145532,0.019546,52.661992,3.242093,0.0,1e-05,15272.0,99
200,2457600,162.3,-5.3777,0.2592,20.0,0.134484,0.020421,52.67048,3.077232,0.0,1e-05,15307.0,99
210,2580480,170.9,-5.4793,0.3905,21.4,0.13497,0.020179,52.677948,3.130109,0.0,1e-05,14308.0,99
220,2703360,178.9,-5.4619,0.3347,20.9,0.128422,0.020395,52.686151,2.861126,0.0,1e-05,15383.0,99
230,2826240,186.9,-5.4609,0.3179,20.9,0.118513,0.017797,52.694913,2.766936,0.0,1e-05,15325.0,99
240,2949120,194.9,-5.4672,0.2884,21.1,0.125172,0.017924,52.70301,2.482052,0.0,1e-05,15334.0,99
250,3072000,202.9,-5.4875,0.3119,21.5,0.106975,0.017643,52.710121,2.399954,0.0,1e-05,15353.0,99
260,3194880,211.4,-5.543,0.3636,22.4,0.104745,0.017288,52.717463,2.200183,0.0,1e-05,14418.0,99
270,3317760,219.5,-5.499,0.2737,21.8,0.106646,0.015978,52.724751,2.018228,0.0,1e-05,15146.0,99
280,3440640,227.6,-5.5116,0.3088,22.2,0.112244,0.016419,52.73218,1.887043,0.0,1e-05,15302.0,99
290,3563520,235.6,-5.5157,0.3068,22.4,0.107546,0.015011,52.738854,1.737735,0.0,1e-05,15397.0,99
300,3686400,243.6,-5.5082,0.2805,22.2,0.095085,0.014031,52.745639,1.69406,0.0,1e-05,15335.0,99
310,3809280,252.1,-5.5398,0.351,22.7,0.102201,0.014524,52.752592,1.590479,0.0,1e-05,14342.0,99
