iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.9,-6.5554,0.6834,37.8,0.340597,0.271931,52.544127,2.555155,3.41282,1e-05,11253.0,189
20,245760,20.3,-6.4996,0.7225,38.3,0.313996,0.231678,52.549922,2.266475,3.285995,1e-05,13100.0,189
30,368640,29.7,-6.5071,0.7077,38.4,0.290454,0.139843,52.555218,2.172407,3.03053,1e-05,13030.0,189
40,491520,39.2,-6.46,0.7158,37.9,0.347845,0.100101,52.560817,2.19892,2.983464,1e-05,13030.0,189
50,614400,48.6,-6.3704,0.6977,36.9,0.265745,0.086972,52.56686,1.979977,2.799857,1e-05,12999.0,189
60,737280,59.3,-6.2643,0.7773,35.7,0.264142,0.073984,52.572003,2.024332,2.799745,1e-05,11538.0,189
70,860160,68.7,-6.1993,0.659,35.2,0.264589,0.061604,52.577446,1.948522,2.603864,1e-05,12956.0,189
80,983040,78.4,-6.0898,0.6482,33.6,0.264711,0.054817,52.582358,1.753144,2.450395,1e-05,12751.0,189
90,1105920,87.9,-5.9767,0.6057,32.3,0.256807,0.045831,52.588157,2.103,2.365175,1e-05,12907.0,189
100,1228800,97.5,-5.9201,0.5927,31.7,0.244116,0.045478,52.593506,1.578808,2.322812,1e-05,12869.0,189
110,1351680,107.9,-5.8215,0.5931,30.5,0.248308,0.042873,52.598359,1.551103,2.2553,1e-05,11738.0,189
120,1474560,117.6,-5.8023,0.5038,30.5,0.237835,0.038189,52.603354,1.430166,2.157593,1e-05,12763.0,189
130,1597440,127.3,-5.7932,0.4822,30.5,0.223466,0.034733,52.60853,1.330934,2.059618,1e-05,12642.0,189
140,1720320,136.8,-5.7705,0.4645,30.4,0.227341,0.033551,52.613426,1.311281,2.064966,1e-05,12857.0,189
150,1843200,146.4,-5.7771,0.4078,30.4,0.215705,0.031846,52.618254,1.179179,1.999817,1e-05,12837.0,189
160,1966080,156.8,-5.7145,0.4699,29.6,0.202183,0.031443,52.623601,1.129056,2.015855,1e-05,11775.0,189
170,2088960,166.3,-5.7655,0.3779,30.4,0.231657,0.027164,52.628619,1.097965,1.972812,1e-05,12933.0,189
180,2211840,175.9,-5.7563,0.3338,30.3,0.214735,0.026407,52.63264,1.043123,1.904283,1e-05,12896.0,189
190,2334720,185.5,-5.7497,0.332,30.3,0.301825,0.025742,52.637446,1.156592,1.834267,1e-05,12759.0,189
200,2457600,195.0,-5.76,0.3219,30.2,0.189731,0.023685,52.64216,0.961364,1.824395,1e-05,12883.0,189
210,2580480,205.4,-5.7475,0.429,29.7,0.179937,0.022452,52.6466,0.848196,1.782446,1e-05,11805.0,189
220,2703360,215.0,-5.7963,0.3192,30.3,0.171604,0.021645,52.651822,0.843889,1.740983,1e-05,12923.0,189
230,2826240,224.4,-5.8079,0.3134,30.1,0.154636,0.022042,52.656216,0.836178,1.710888,1e-05,12963.0,189
240,2949120,234.0,-5.8218,0.3141,29.9,0.150717,0.021658,52.661065,0.740882,1.646443,1e-05,12811.0,189
250,3072000,243.5,-5.8364,0.3188,30.0,0.154177,0.019719,52.665767,0.772773,1.626399,1e-05,12989.0,189
