iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.9,-6.575,0.675,38.0,0.35493,0.279137,52.539875,2.367054,8.190353,1e-05,11320.0,189
20,245760,20.3,-6.5546,0.6924,39.0,0.302454,0.27501,52.544799,2.693728,8.125346,1e-05,12971.0,189
30,368640,29.8,-6.5676,0.7162,39.3,0.292978,0.165523,52.550094,2.123041,7.598118,1e-05,12972.0,189
40,491520,39.3,-6.5407,0.6938,39.2,0.27937,0.111986,52.555195,1.985628,7.668334,1e-05,12899.0,189
50,614400,49.0,-6.5065,0.7145,38.9,0.281391,0.085232,52.560479,1.951402,7.17145,1e-05,12764.0,189
60,737280,60.0,-6.3783,0.7634,37.5,0.266344,0.072089,52.566205,1.657849,7.295859,1e-05,11170.0,189
70,860160,69.5,-6.3359,0.6903,37.5,0.266832,0.059431,52.571063,1.637296,7.1472,1e-05,12859.0,189
80,983040,79.0,-6.2692,0.6956,37.3,0.248379,0.052122,52.575987,1.50302,7.034392,1e-05,12930.0,189
90,1105920,88.5,-6.1898,0.6899,36.3,0.267406,0.048833,52.58061,1.39194,6.827903,1e-05,12897.0,189
100,1228800,98.1,-6.1449,0.6623,35.8,0.243918,0.047601,52.585572,1.22699,6.627505,1e-05,12841.0,189
110,1351680,109.0,-6.0375,0.7311,34.3,0.234991,0.04561,52.59161,1.207625,6.279851,1e-05,11236.0,189
120,1474560,118.6,-6.0006,0.5951,33.9,0.235844,0.039594,52.597261,1.104689,6.199618,1e-05,12888.0,189
130,1597440,128.2,-5.9613,0.5856,33.1,0.238495,0.040849,52.601635,1.047474,6.035771,1e-05,12799.0,189
140,1720320,137.7,-5.9295,0.5601,32.7,0.225878,0.035978,52.605803,0.975,5.982115,1e-05,12855.0,189
150,1843200,147.4,-5.8977,0.5154,32.1,0.213142,0.03274,52.61039,0.933206,5.955524,1e-05,12722.0,189
160,1966080,158.0,-5.7966,0.5456,30.7,0.204801,0.035411,52.615584,0.854039,5.595935,1e-05,11552.0,189
170,2088960,167.7,-5.8598,0.4658,31.6,0.202505,0.031755,52.620694,0.918335,5.660951,1e-05,12724.0,189
180,2211840,177.3,-5.8257,0.4027,31.1,0.291803,0.027884,52.625017,0.843377,5.599615,1e-05,12823.0,189
190,2334720,186.8,-5.8459,0.4178,31.4,0.167505,0.028543,52.629612,0.74442,5.432825,1e-05,12882.0,189
200,2457600,196.4,-5.8484,0.4145,31.6,0.16267,0.02597,52.634437,0.70589,5.484346,1e-05,12880.0,189
210,2580480,206.9,-5.7667,0.4819,30.5,0.167985,0.023218,52.639692,0.652441,5.429073,1e-05,11706.0,189
220,2703360,216.4,-5.8267,0.3762,31.6,0.148584,0.023068,52.644279,0.638968,5.066436,1e-05,12856.0,189
230,2826240,226.1,-5.8142,0.3683,31.4,0.156378,0.023813,52.649373,0.582959,4.988069,1e-05,12748.0,189
240,2949120,235.6,-5.8156,0.3649,31.4,0.171701,0.020947,52.653708,0.589601,5.077241,1e-05,12822.0,189
250,3072000,245.2,-5.8168,0.3609,31.2,0.134832,0.021811,52.658445,0.527299,4.9084,1e-05,12857.0,189
260,3194880,255.8,-5.7568,0.4541,30.1,0.127717,0.021917,52.662931,0.500231,4.962607,1e-05,11636.0,189
270,3317760,265.3,-5.8298,0.3585,31.1,0.114633,0.019745,52.667507,0.469933,5.114518,1e-05,12863.0,189
280,3440640,274.9,-5.8157,0.3553,30.5,0.114503,0.020523,52.671709,0.444389,4.935407,1e-05,12790.0,189
290,3563520,284.5,-5.8163,0.361,30.1,0.11081,0.020073,52.675704,0.404587,4.903412,1e-05,12817.0,189
300,3686400,294.2,-5.7937,0.3635,29.5,0.114127,0.020199,52.6798,0.403942,4.817369,1e-05,12715.0,189
310,3809280,304.8,-5.7147,0.4558,28.3,0.118024,0.019914,52.684174,0.412962,4.600745,1e-05,11509.0,189
320,3932160,314.9,-5.7351,0.3564,28.2,0.13437,0.01919,52.688799,0.398206,4.664918,1e-05,12222.0,189
330,4055040,324.6,-5.7063,0.3509,27.6,0.096978,0.017349,52.693189,0.363246,4.749107,1e-05,12654.0,189
340,4177920,334.2,-5.6844,0.3606,27.0,0.086924,0.016819,52.69776,0.338114,4.529001,1e-05,12766.0,189
350,4300800,344.0,-5.6375,0.3415,26.1,0.087721,0.015661,52.70213,0.332386,4.599936,1e-05,12615.0,189
360,4423680,354.7,-5.5744,0.3969,25.1,0.08506,0.014677,52.706259,0.326114,4.684951,1e-05,11495.0,189
370,4546560,364.5,-5.5854,0.3246,25.2,0.083752,0.015263,52.711162,0.312015,4.71655,1e-05,12516.0,189
380,4669440,374.4,-5.5654,0.3345,24.8,0.076585,0.013227,52.71593,0.313132,4.656594,1e-05,12436.0,189
390,4792320,384.1,-5.5175,0.3086,24.1,0.079005,0.01332,52.720057,0.294633,4.634567,1e-05,12562.0,189
400,4915200,394.0,-5.4685,0.2885,23.3,0.077452,0.012282,52.724648,0.3039,4.45964,1e-05,12477.0,189
410,5038080,404.7,-5.4163,0.3224,22.1,0.069747,0.011269,52.728618,0.284272,4.315174,1e-05,11510.0,189
420,5160960,414.5,-5.4123,0.2541,22.2,0.064946,0.0103,52.733366,0.294923,4.280231,1e-05,12456.0,189
430,5283840,424.4,-5.3791,0.2341,21.7,0.0638,0.010036,52.73802,0.299219,4.257702,1e-05,12429.0,189
440,5406720,434.3,-5.3377,0.2175,21.3,0.072446,0.009663,52.742711,0.309909,4.25154,1e-05,12450.0,189
450,5529600,444.2,-5.3062,0.2128,20.8,0.075448,0.008692,52.747583,0.29454,4.143433,1e-05,12433.0,189
460,5652480,454.6,-5.2893,0.2844,20.6,0.057669,0.008126,52.751922,0.30696,4.508496,1e-05,11753.0,189
470,5775360,465.1,-5.2249,0.2004,20.2,0.061187,0.007948,52.756636,0.314541,4.298479,1e-05,11784.0,189
480,5898240,475.0,-5.1911,0.204,20.0,0.066391,0.007367,52.761318,0.320565,4.537428,1e-05,12409.0,189
490,6021120,484.9,-5.1601,0.2082,20.1,0.069507,0.00773,52.766194,0.345562,4.367521,1e-05,12387.0,189
500,6144000,494.8,-5.1359,0.2321,20.3,0.066665,0.007866,52.770484,0.354748,4.386704,1e-05,12352.0,189
510,6266880,505.5,-5.1483,0.315,21.2,0.06621,0.007909,52.774915,0.342145,4.024546,1e-05,11554.0,189
520,6389760,515.4,-5.0878,0.2768,20.7,0.075317,0.007184,52.779005,0.365367,4.067082,1e-05,12321.0,189
530,6512640,525.4,-5.0761,0.2961,21.2,0.073316,0.007274,52.782071,0.397709,4.034702,1e-05,12338.0,189
540,6635520,535.4,-5.0659,0.3237,21.6,0.065995,0.007645,52.786609,0.385004,4.132042,1e-05,12340.0,189
550,6758400,545.3,-5.0334,0.3333,21.6,0.066779,0.007414,52.790733,0.412956,4.104762,1e-05,12312.0,189
560,6881280,556.0,-5.0031,0.3446,21.7,0.060708,0.00663,52.794464,0.426191,4.049519,1e-05,11552.0,189
570,7004160,566.1,-4.9004,0.2409,20.1,0.062742,0.006363,52.797505,0.457598,4.154856,1e-05,12114.0,189
580,7127040,576.1,-4.836,0.1709,19.3,0.066019,0.005919,52.800781,0.520208,4.08266,1e-05,12335.0,189
590,7249920,586.1,-4.8124,0.1474,19.1,0.058325,0.0061,52.804004,0.500714,4.048816,1e-05,12268.0,189
600,7372800,596.3,-4.8021,0.1392,18.9,0.061414,0.00585,52.807022,0.560644,4.030944,1e-05,12001.0,189
610,7495680,606.8,-4.8217,0.1785,19.5,0.052689,0.005569,52.810508,0.51108,3.909453,1e-05,11702.0,189
620,7618560,616.9,-4.8086,0.1379,18.9,0.051284,0.005576,52.813847,0.608929,3.907068,1e-05,12213.0,189
630,7741440,627.0,-4.8103,0.1336,18.8,0.061485,0.006141,52.817348,0.725726,3.785344,1e-05,12199.0,189
640,7864320,637.1,-4.8125,0.134,18.7,0.06353,0.006377,52.821525,0.854355,3.966553,1e-05,12141.0,189
650,7987200,647.2,-4.8121,0.1282,18.6,0.053397,0.006175,52.826028,0.975583,3.88672,1e-05,12105.0,189
660,8110080,657.8,-4.8378,0.175,19.1,0.027546,0.006551,52.829956,1.1048,3.836922,1e-05,11646.0,189
670,8232960,667.9,-4.8194,0.1289,18.5,0.034744,0.007073,52.835045,1.158608,3.835922,1e-05,12096.0,189
680,8355840,678.0,-4.8269,0.1257,18.5,0.028886,0.007056,52.83976,1.228514,3.916748,1e-05,12163.0,189
690,8478720,688.2,-4.8407,0.1269,18.5,0.030717,0.00608,52.844714,1.164934,3.92725,1e-05,12106.0,189
700,8601600,698.3,-4.8546,0.1281,18.4,0.028444,0.006693,52.849695,1.19345,3.705474,1e-05,12202.0,189
710,8724480,708.8,-4.8748,0.1791,18.6,0.020132,0.006287,52.854407,1.215163,3.793819,1e-05,11655.0,189
720,8847360,718.9,-4.8856,0.1314,18.4,0.024872,0.00664,52.859242,1.213117,3.809169,1e-05,12221.0,189
730,8970240,729.2,-4.9007,0.1335,18.3,0.017789,0.006219,52.864347,1.027236,3.817759,1e-05,11936.0,189
740,9093120,739.8,-4.9109,0.1349,18.3,0.066506,0.005941,52.869495,1.030595,3.811991,1e-05,11562.0,189
750,9216000,750.1,-4.9267,0.1346,18.2,0.008398,0.005711,52.875056,0.972002,3.713052,1e-05,11975.0,189
760,9338880,760.4,-4.9671,0.1958,18.9,0.013586,0.006711,52.880273,1.292369,3.893869,1e-05,11867.0,189
770,9461760,770.7,-4.9584,0.1401,18.3,0.012913,0.006464,52.885994,1.082702,3.80062,1e-05,11934.0,189
780,9584640,780.9,-4.9851,0.1399,18.3,0.021895,0.00606,52.891857,1.029959,3.775978,1e-05,12066.0,189
790,9707520,791.1,-5.0193,0.1463,18.3,0.020641,0.006421,52.89765,1.10725,3.709507,1e-05,11986.0,189
800,9830400,801.4,-5.0532,0.1453,18.4,0.008807,0.006265,52.904211,0.99816,3.75632,1e-05,11983.0,189
810,9953280,811.9,-5.1275,0.2265,19.1,0.013578,0.008239,52.910851,1.088229,3.811731,1e-05,11743.0,189
