iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,9.4,-12.6656,3.4541,27.7,-0.039084,10.361828,52.56413,0.017688,0.0,2.6337448559670777e-05,13104.0,53
20,245760,17.4,-12.5269,3.5908,27.5,-0.036868,6.153761,52.617708,0.016868,0.0,2.6337448559670777e-05,15342.0,53
30,368640,25.3,-12.3378,3.5748,27.2,-0.038491,4.568927,52.677655,0.017548,0.0,2.6337448559670777e-05,15605.0,53
40,491520,33.2,-11.8686,3.4183,26.0,-0.038199,3.60489,52.737255,0.016309,0.0,2.6337448559670777e-05,15517.0,53
50,614400,41.1,-11.3637,3.4266,24.9,-0.036515,3.09615,52.795238,0.017327,0.0,2.6337448559670777e-05,15491.0,53
60,737280,49.8,-10.855,3.416,23.5,-0.038104,2.585489,52.849235,0.017377,0.0,2.6337448559670777e-05,14127.0,53
70,860160,57.8,-10.3951,3.1072,22.4,-0.035781,2.353666,52.905923,0.017539,0.0,2.6337448559670777e-05,15316.0,53
80,983040,65.9,-9.9126,2.7907,21.2,-0.037283,1.549506,52.96473,0.016911,0.0,2.6337448559670777e-05,15327.0,53
90,1105920,73.9,-9.5043,2.5166,20.4,-0.035047,1.507911,53.026888,0.016567,0.0,2.6337448559670777e-05,15282.0,53
100,1228800,82.0,-9.2304,2.3416,19.7,-0.035789,1.150845,53.086968,0.015984,0.0,2.6337448559670777e-05,15198.0,53
110,1351680,90.7,-8.8902,2.1015,18.9,-0.035075,1.064307,53.144324,0.016312,0.0,2.6337448559670777e-05,14130.0,53
120,1474560,98.8,-8.7131,1.8263,18.6,-0.035147,0.822379,53.204338,0.016909,0.0,2.6337448559670777e-05,15159.0,53
130,1597440,106.9,-8.5382,1.7501,18.3,-0.035783,0.767192,53.267769,0.015607,0.0,2.6337448559670777e-05,15158.0,53
140,1720320,115.0,-8.3474,1.4919,18.0,-0.033974,0.646504,53.328703,0.016629,0.0,2.6337448559670777e-05,15120.0,53
150,1843200,123.2,-8.1903,1.3673,17.8,-0.035221,0.495041,53.393908,0.015836,0.0,2.6337448559670777e-05,15094.0,53
160,1966080,131.9,-8.0581,1.3613,17.6,-0.035657,0.408309,53.457753,0.015748,0.0,2.6337448559670777e-05,14035.0,53
170,2088960,140.5,-7.9335,1.2562,17.5,-0.034584,0.351606,53.516916,0.015268,0.0,2.6337448559670777e-05,14321.0,53
180,2211840,148.7,-7.7908,1.106,17.4,-0.033519,0.288695,53.570637,0.015097,0.0,2.6337448559670777e-05,14998.0,53
190,2334720,156.9,-7.6337,0.9684,17.2,-0.032872,0.261834,53.632917,0.015777,0.0,2.6337448559670777e-05,15043.0,53
200,2457600,165.0,-7.4916,0.8938,17.1,-0.032897,0.210606,53.692905,0.015141,0.0,2.6337448559670777e-05,15003.0,53
210,2580480,173.8,-7.3606,0.9459,16.9,-0.031963,0.179377,53.748953,0.015128,0.0,2.6337448559670777e-05,14067.0,53
220,2703360,181.9,-7.2429,0.7316,17.0,-0.041338,0.150883,53.796132,0.017956,0.0,2.6337448559670777e-05,15074.0,53
230,2826240,190.1,-7.1144,0.6675,16.9,-0.039842,0.150101,53.860002,0.017127,0.0,2.6337448559670777e-05,15058.0,53
240,2949120,198.3,-6.9987,0.5985,16.8,-0.04031,0.102224,53.917189,0.017257,0.0,2.6337448559670777e-05,15033.0,53
250,3072000,206.5,-6.8671,0.5496,16.8,-0.040187,0.09254,53.981474,0.017391,0.0,2.6337448559670777e-05,15004.0,53
260,3194880,215.2,-6.7368,0.673,16.6,-0.038166,0.081366,54.044371,0.016735,0.0,2.6337448559670777e-05,14021.0,53
270,3317760,223.4,-6.6367,0.4777,16.7,-0.039921,0.061406,54.093469,0.016226,0.0,2.6337448559670777e-05,15069.0,53
280,3440640,231.6,-6.5026,0.4316,16.6,-0.036315,0.059935,54.144869,0.016457,0.0,2.6337448559670777e-05,14997.0,53
290,3563520,239.7,-6.3776,0.4147,16.6,-0.038972,0.050354,54.188622,0.015478,0.0,2.6337448559670777e-05,15019.0,53
300,3686400,247.9,-6.2593,0.3696,16.5,-0.03768,0.037316,54.237206,0.015705,0.0,2.6337448559670777e-05,15039.0,53
310,3809280,256.7,-6.1304,0.4356,16.2,-0.034539,0.034814,54.275021,0.016252,0.0,2.6337448559670777e-05,14056.0,53
320,3932160,264.8,-6.0346,0.3459,16.4,-0.034766,0.027649,54.316863,0.014187,0.0,2.6337448559670777e-05,15040.0,53
330,4055040,273.0,-5.9156,0.2906,16.3,-0.033413,0.026655,54.340254,0.014455,0.0,2.6337448559670777e-05,15067.0,53
340,4177920,281.1,-5.7996,0.2518,16.2,-0.034017,0.017165,54.363163,0.014041,0.0,2.6337448559670777e-05,15096.0,53
