iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.6,-6.4119,0.6175,37.7,0.325174,0.216647,52.54175,3.111298,0.0,1e-05,11591.0,188
20,245760,19.8,-6.3049,0.6571,37.3,0.337635,0.167429,52.547556,3.012972,0.0,1e-05,13356.0,188
30,368640,29.1,-6.177,0.643,35.3,0.360721,0.127275,52.552381,3.091234,0.0,1e-05,13221.0,188
40,491520,38.4,-6.0763,0.6665,33.9,0.302053,0.106355,52.556497,2.884836,0.0,1e-05,13272.0,188
50,614400,47.7,-5.9591,0.6478,32.3,0.295622,0.085047,52.561714,2.964641,0.0,1e-05,13175.0,188
60,737280,58.0,-5.7118,0.6205,28.8,0.308144,0.077063,52.567365,2.95513,0.0,1e-05,11893.0,188
70,860160,67.4,-5.6098,0.5282,27.5,0.279609,0.064665,52.572166,2.960474,0.0,1e-05,13062.0,188
80,983040,76.9,-5.4701,0.4497,25.3,0.291276,0.053566,52.576706,2.894121,0.0,1e-05,12957.0,188
90,1105920,86.4,-5.3179,0.3828,23.6,0.249997,0.043072,52.581952,2.85947,0.0,1e-05,12983.0,188
100,1228800,95.9,-5.1872,0.3003,21.9,1.158675,0.04066,52.587253,3.253694,0.0,1e-05,12938.0,188
110,1351680,106.1,-5.0812,0.3107,20.6,0.254838,0.036747,52.591763,2.75467,0.0,1e-05,12012.0,188
120,1474560,115.6,-5.1061,0.2633,21.3,0.237805,0.036259,52.597048,2.623066,0.0,1e-05,12879.0,188
130,1597440,125.2,-5.0872,0.2482,20.9,0.228268,0.034351,52.601987,2.490065,0.0,1e-05,12857.0,188
140,1720320,134.7,-5.0899,0.245,20.9,0.279573,0.029344,52.607053,2.494932,0.0,1e-05,12875.0,188
150,1843200,144.3,-5.0672,0.2351,20.6,0.251896,0.031017,52.612232,2.353727,0.0,1e-05,12875.0,188
160,1966080,154.5,-5.05,0.2857,20.3,0.239356,0.028193,52.616977,2.143955,0.0,1e-05,12014.0,188
170,2088960,164.1,-5.053,0.2457,20.3,0.213689,0.026635,52.622147,2.141191,0.0,1e-05,12810.0,188
180,2211840,173.7,-5.0473,0.2518,20.1,0.224361,0.024493,52.627282,2.043517,0.0,1e-05,12846.0,188
190,2334720,183.4,-5.0313,0.2556,19.9,0.237903,0.026231,52.631907,1.990571,0.0,1e-05,12642.0,188
200,2457600,193.0,-5.0251,0.2878,19.8,0.229035,0.025069,52.6363,2.005772,0.0,1e-05,12830.0,188
210,2580480,203.1,-4.9994,0.3037,19.4,0.203201,0.024062,52.641501,1.971869,0.0,1e-05,12182.0,188
220,2703360,212.6,-5.0204,0.2894,19.6,0.232002,0.02575,52.646733,1.882332,0.0,1e-05,12867.0,188
230,2826240,222.2,-5.0143,0.282,19.6,0.204163,0.022796,52.652046,1.880231,0.0,1e-05,12839.0,188
240,2949120,231.8,-5.0133,0.2785,19.5,0.200538,0.020699,52.657374,1.675273,0.0,1e-05,12813.0,188
250,3072000,241.4,-5.0335,0.2871,19.7,0.199391,0.020365,52.662431,1.677204,0.0,1e-05,12727.0,188
260,3194880,251.5,-5.0152,0.3155,19.3,0.181048,0.019928,52.667932,1.739028,0.0,1e-05,12196.0,188
270,3317760,261.0,-5.0302,0.2627,19.6,0.213347,0.020488,52.673175,1.672523,0.0,1e-05,12862.0,188
280,3440640,270.6,-5.0436,0.2568,19.6,0.187514,0.019448,52.67826,1.680054,0.0,1e-05,12811.0,188
290,3563520,280.1,-5.0688,0.2591,19.7,0.194995,0.017219,52.683708,1.609967,0.0,1e-05,12925.0,188
300,3686400,289.7,-5.0784,0.2429,19.7,0.169472,0.015458,52.689137,1.543582,0.0,1e-05,12833.0,188
310,3809280,299.9,-5.069,0.2813,19.5,0.190073,0.015822,52.69508,1.547875,0.0,1e-05,12093.0,188
320,3932160,309.5,-5.1002,0.2299,19.8,0.166572,0.015841,52.700769,1.392765,0.0,1e-05,12839.0,188
330,4055040,319.0,-5.1336,0.2448,20.1,0.177088,0.014374,52.70623,1.315792,0.0,1e-05,12865.0,188
340,4177920,328.6,-5.1529,0.2476,20.2,0.159572,0.01489,52.711741,1.227784,0.0,1e-05,12842.0,188
350,4300800,338.1,-5.1727,0.2502,20.3,0.153831,0.015877,52.716269,1.15359,0.0,1e-05,12838.0,188
360,4423680,348.3,-5.1665,0.2981,20.0,0.145038,0.013657,52.721544,1.178574,0.0,1e-05,12104.0,188
370,4546560,358.0,-5.2164,0.243,20.6,0.329713,0.013344,52.72695,1.133196,0.0,1e-05,12623.0,188
380,4669440,367.6,-5.2159,0.2464,20.7,0.137732,0.013814,52.732362,1.090599,0.0,1e-05,12869.0,188
390,4792320,377.2,-5.2018,0.246,20.5,0.13683,0.013989,52.737643,0.92611,0.0,1e-05,12834.0,188
400,4915200,386.7,-5.1793,0.2412,20.3,0.142341,0.012632,52.742435,0.902866,0.0,1e-05,12839.0,188
410,5038080,396.8,-5.135,0.2772,19.5,0.150839,0.012894,52.747074,0.952466,0.0,1e-05,12204.0,188
420,5160960,406.4,-5.1252,0.2355,19.8,0.137363,0.012762,52.75137,0.979965,0.0,1e-05,12814.0,188
430,5283840,416.0,-5.0925,0.2257,19.4,0.138523,0.01118,52.75603,1.00289,0.0,1e-05,12815.0,188
440,5406720,425.7,-5.0536,0.2095,19.2,0.137381,0.010127,52.761014,0.966914,0.0,1e-05,12679.0,188
450,5529600,435.2,-5.0267,0.2067,19.0,0.140832,0.009715,52.765103,1.013656,0.0,1e-05,12876.0,188
460,5652480,445.1,-4.9918,0.2404,18.6,0.128139,0.009194,52.769051,0.805813,0.0,1e-05,12383.0,188
470,5775360,454.7,-4.9883,0.1818,18.7,0.140686,0.00823,52.774284,0.903832,0.0,1e-05,12864.0,188
480,5898240,464.3,-4.9632,0.1622,18.5,1.005388,0.007093,52.778591,2.348291,0.0,1e-05,12790.0,188
490,6021120,473.8,-4.951,0.1596,18.3,0.159849,0.007682,52.782332,1.027168,0.0,1e-05,12883.0,188
500,6144000,483.6,-4.9482,0.1574,18.2,0.15529,0.006878,52.78599,1.068184,0.0,1e-05,12635.0,188
510,6266880,493.3,-4.9707,0.2026,18.5,0.151214,0.008729,52.789524,1.343324,0.0,1e-05,12629.0,188
520,6389760,502.7,-4.9498,0.1452,17.9,0.156733,0.006647,52.792982,1.064704,0.0,1e-05,13060.0,188
530,6512640,512.2,-4.9463,0.1349,17.8,0.182854,0.007571,52.796469,1.229737,0.0,1e-05,12957.0,188
540,6635520,521.8,-4.9479,0.1328,17.6,0.200925,0.008051,52.800467,1.298774,0.0,1e-05,12829.0,188
550,6758400,531.3,-4.9528,0.1374,17.5,0.192983,0.008826,52.80438,1.246748,0.0,1e-05,12862.0,188
560,6881280,541.1,-4.9556,0.1876,17.7,0.239384,0.008675,52.8084,1.185119,0.0,1e-05,12609.0,188
570,7004160,550.6,-4.9443,0.1313,17.4,0.197185,0.008371,52.812833,1.317053,0.0,1e-05,12912.0,188
580,7127040,560.1,-4.9423,0.1292,17.3,0.224225,0.008654,52.816794,1.242425,0.0,1e-05,12895.0,188
590,7249920,569.7,-4.9401,0.1311,17.3,0.234141,0.009019,52.821328,1.335597,0.0,1e-05,12810.0,188
600,7372800,579.2,-4.9502,0.1319,17.2,0.217898,0.008515,52.826709,1.284326,0.0,1e-05,12914.0,188
610,7495680,588.8,-4.9757,0.1908,17.8,0.237456,0.008339,52.831635,1.55286,0.0,1e-05,12819.0,188
620,7618560,598.3,-4.9448,0.1331,17.2,0.224613,0.008233,52.836778,1.37074,0.0,1e-05,12871.0,188
630,7741440,607.9,-4.9605,0.1345,17.2,0.219803,0.008306,52.841205,1.360765,0.0,1e-05,12890.0,188
640,7864320,617.4,-4.991,0.1385,17.3,0.201609,0.008564,52.845238,1.236428,0.0,1e-05,12878.0,188
650,7987200,627.0,-5.0346,0.1455,17.3,0.198867,0.008516,52.849417,1.160784,0.0,1e-05,12793.0,188
660,8110080,636.5,-5.1029,0.2236,17.8,0.165629,0.008857,52.853922,0.967476,0.0,1e-05,12918.0,188
670,8232960,646.0,-5.1302,0.1619,17.5,0.177794,0.009189,52.857825,1.118552,0.0,1e-05,13014.0,188
680,8355840,655.6,-5.1771,0.166,17.5,0.174298,0.00967,52.861614,1.271444,0.0,1e-05,12718.0,188
690,8478720,665.2,-5.2296,0.171,17.6,0.152698,0.009859,52.865724,1.302737,0.0,1e-05,12904.0,188
700,8601600,674.7,-5.2695,0.1791,17.8,0.163477,0.010226,52.869203,1.333139,0.0,1e-05,12859.0,188
710,8724480,684.5,-5.2942,0.2505,17.7,0.196696,0.010565,52.87259,1.412833,0.0,1e-05,12586.0,188
720,8847360,694.0,-5.3421,0.195,18.2,0.17085,0.010891,52.876218,1.225892,0.0,1e-05,12917.0,188
730,8970240,703.6,-5.3429,0.1982,18.6,0.164345,0.011101,52.880802,1.20388,0.0,1e-05,12845.0,188
740,9093120,713.2,-5.349,0.2034,19.2,0.208116,0.010886,52.885483,1.168317,0.0,1e-05,12771.0,188
750,9216000,722.9,-5.3498,0.2174,20.0,0.168605,0.011308,52.8901,1.142125,0.0,1e-05,12672.0,188
760,9338880,733.0,-5.3951,0.3223,21.4,0.15064,0.012653,52.894058,1.099575,0.0,1e-05,12102.0,188
770,9461760,742.6,-5.3841,0.2851,22.0,0.157785,0.01323,52.898045,1.121197,0.0,1e-05,12835.0,188
780,9584640,752.2,-5.406,0.3195,22.8,0.136536,0.013825,52.901713,1.121326,0.0,1e-05,12834.0,188
790,9707520,761.7,-5.4001,0.3149,23.3,0.167365,0.014159,52.905629,1.19533,0.0,1e-05,12864.0,188
800,9830400,771.3,-5.3953,0.3325,23.7,0.160787,0.014288,52.909777,1.217945,0.0,1e-05,12815.0,188
810,9953280,781.7,-5.4026,0.4025,24.1,0.161644,0.012262,52.913877,1.311238,0.0,1e-05,11843.0,188
