iteration,global_step,wall_time_s,reward_mean,reward_std,episode_length_mean,policy_loss,value_loss,entropy,approx_kl,aux_loss,learning_rate,fps,gpu_mem_mb
10,122880,10.5,-6.0528,0.4474,40.6,0.203358,2.948866,52.534096,0.485765,0.0,1e-05,11664.0,187
20,245760,19.3,-6.0645,0.4442,40.9,0.222964,3.021564,52.539401,0.544012,0.0,1e-05,13941.0,187
30,368640,28.1,-6.1001,0.4672,41.5,0.215236,2.937458,52.544623,0.609128,0.0,1e-05,14010.0,187
40,491520,37.0,-6.129,0.4796,41.8,0.225636,3.216693,52.549701,0.648669,0.0,1e-05,13762.0,187
50,614400,45.8,-6.1205,0.4828,41.5,0.230299,3.238935,52.554671,0.733957,0.0,1e-05,13969.0,187
60,737280,56.5,-5.987,0.6686,39.1,0.22533,3.388768,52.559728,0.829273,0.0,1e-05,11494.0,187
70,860160,65.3,-6.1731,0.4977,42.0,0.234804,3.562055,52.564687,0.974995,0.0,1e-05,14016.0,187
80,983040,74.1,-6.2141,0.5217,42.4,0.236167,3.706494,52.569231,1.153857,0.0,1e-05,14022.0,187
90,1105920,82.9,-6.2326,0.532,42.3,0.2497,3.987753,52.573276,1.306958,0.0,1e-05,13978.0,187
100,1228800,91.8,-6.2689,0.5653,42.5,0.262719,4.360123,52.577621,1.482872,0.0,1e-05,13795.0,187
110,1351680,102.0,-6.1549,0.754,40.3,0.258833,4.886554,52.581415,1.678839,0.0,1e-05,12012.0,187
120,1474560,110.4,-6.3537,0.6133,42.9,0.298725,5.220195,52.585107,2.174333,0.0,1e-05,14570.0,187
130,1597440,118.9,-6.3703,0.6351,42.6,0.275677,5.845494,52.588711,2.092641,0.0,1e-05,14513.0,187
140,1720320,127.3,-6.3881,0.6812,42.4,0.304408,6.184783,52.591742,2.480884,0.0,1e-05,14541.0,187
150,1843200,135.8,-6.3614,0.6806,41.1,0.318318,6.890893,52.595113,3.413547,0.0,1e-05,14458.0,187
160,1966080,146.2,-6.2523,0.8231,38.8,0.317457,8.362902,52.597248,2.846611,0.0,1e-05,11868.0,187
170,2088960,154.8,-6.3714,0.7178,40.0,0.374291,8.73707,52.600352,3.107728,0.0,1e-05,14263.0,187
180,2211840,163.3,-6.3179,0.7337,38.6,0.378715,9.651806,52.603498,3.824086,0.0,1e-05,14455.0,187
190,2334720,171.8,-6.2808,0.7181,37.4,0.34548,11.516127,52.606825,3.243349,0.0,1e-05,14445.0,187
200,2457600,180.4,-6.2247,0.7198,36.0,0.439815,13.312999,52.610589,3.586545,0.0,1e-05,14352.0,187
210,2580480,190.2,-6.0889,0.8369,33.9,0.349848,15.242623,52.615095,3.355492,0.0,1e-05,12502.0,187
